"variable","name","type","group","in_calc","source","calc_type","definition","description","unit","unit.abbr"
"CVN","Clarksons Vehicle Number",,"characteristic","no","WFR","raw",,"Clarksons internal identifier",,
"IMO.Number","IMO Number",,"characteristic","no","WFR","raw",,"Unique registration number",,
"Name","Ship name",,"characteristic","no","WFR","raw",,"Ship name",,
"mmsi",,,"characteristic","no","WFR","raw",,,,
"Ex.Name",,,"characteristic","no","WFR","raw",,,,
"Flag.State",,,"characteristic","no","WFR","raw",,,,
"Operator",,,"characteristic","no","WFR","raw",,,,
"Owner",,,"characteristic","no","WFR","raw",,,,
"Group.Owner",,,"characteristic","no","WFR","raw",,,,
"Built.Date",,,"characteristic","indirectly","WFR","raw",,,,
"Built.Year",,,"characteristic","indirectly","WFR","raw",,,,
"Keel.Laid.Date",,,"characteristic","indirectly","WFR","raw",,,,
"Contract.Date",,,"characteristic","no","WFR","raw",,,,
"LDT","Light displacement tonnage","numnonneg","characteristic","no","WFR","raw",,"Weight excluding most contents","tonnes","t"
"Demo.Price.LDT",,,"characteristic","no","WFR","raw",,,,
"Demo.Date",,,"characteristic","no","WFR","raw",,,,
"Dwt","Deadweight tonnage","numnonneg","characteristic","no","WFR","raw",,"Capacity","tonnes","t"
"Size.Category","Size category","ordinal","characteristic","no","WFR","raw",,"e.g., Handymax, Panamax, etc.",,
"Beam.Mld..m.","Beam Moulded","numnonneg","characteristic","no","WFR","raw",,"Maximum width","meters","m"
"Draught..m.","Draft","numnonneg","characteristic","directly","WFR","raw",,"Maximum draft","meters","m"
"Gear.Detail",,,"characteristic","no","WFR","raw",,,,
"Price..NB.",,,"characteristic","no","WFR","raw",,,,
"Currency..NB.",,,"characteristic","no","WFR","raw",,,,
"Main.Engine.Fuel.Type",,,"characteristic","no","WFR","raw",,,,
"Main.Consumption.at.Service.Speed..tpd..",,,"characteristic","no","WFR","raw",,,,
"Main.Engine.Detail",,,"characteristic","no","WFR","raw",,,,
