,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,4,1,1,1,1.75,1.299038105676658
t_over_t_ref_with_m_sum,5,4,2,2,3.25,1.299038105676658
t_over_t_ref_without_m_sum,6,3,3,3,3.75,1.299038105676658
distance_sum,2,9,6,6,5.75,2.48746859276655
cal_fc,3,5,8,7,5.75,1.920286436967152
LOA..m.,8,6,5,5,6.0,1.224744871391589
v_over_v_ref_with_n_sum,15,2,4,4,6.25,5.11737237261468
t_m_times_v_n_sum,1,7,9,9,6.5,3.278719262151
LBP..m.,9,8,7,8,8.0,0.7071067811865476
Draught..m.,7,12,12,12,10.75,2.165063509461097
Beam.Mld..m.,18,10,10,10,12.0,3.4641016151377544
ME_W_ref_first,17,11,11,11,12.5,2.598076211353316
Dwt,11,13,13,13,12.5,0.8660254037844386
trip_nunique,13,15,16,16,15.0,1.224744871391589
NT,16,16,15,15,15.5,0.5
Size.Category,22,14,14,14,16.0,3.4641016151377544
age,10,17,19,19,16.25,3.6996621467371855
missing_frac_sea,14,18,18,18,17.0,1.7320508075688772
TPC,20,20,17,17,18.5,1.5
port_frac,19,19,20,20,19.5,0.5
W_component_first,12,21,23,23,19.75,4.548351349665063
longest_jump,21,22,21,21,21.25,0.4330127018922193
Speed..knots.,23,23,22,22,22.5,0.5
