,cb,gb,lasso,linear,rf,ridge,mean,sd
speed_mean,1,2,5,8,1,1,3.0,2.6457513110645907
NT,3,1,6,3,8,5,4.333333333333333,2.2852182001336816
LOA..m.,7,8,1,7,6,4,5.5,2.362907813126304
GT,5,4,10,5,2,9,5.833333333333333,2.7938424357067015
Beam.Mld..m.,6,6,2,9,11,2,6.0,3.3166247903554
Main.Bunker.Capacity..m3.,4,3,4,10,12,3,6.0,3.605551275463989
cubic_meter,9,7,10,2,3,6,6.166666666666667,2.91070819942883
HP.Total.Propulsion,11,9,3,4,5,7,6.5,2.8136571693556887
Dwt,8,5,10,1,7,11,7.0,3.3166247903554
Depth.Moulded..m.,2,11,10,13,4,10,8.333333333333334,3.9440531887330774
ME_W_ref_first,10,12,10,6,9,8,9.166666666666666,1.863389981249825
t_over_t_ref_without_m_sum,12,10,10,11,10,12,10.833333333333334,0.8975274678557507
LDT,13,13,10,12,13,13,12.333333333333334,1.1055415967851334
