,gb,lasso,linear,ridge,mean,sd
NT,1,6,3,5,3.75,1.920286436967152
speed_mean,2,5,8,1,4.0,2.7386127875258306
Beam.Mld..m.,6,2,9,2,4.75,2.947456530637899
LOA..m.,8,1,7,4,5.0,2.7386127875258306
Main.Bunker.Capacity..m3.,3,4,10,3,5.0,2.9154759474226504
HP.Total.Propulsion,9,3,4,7,5.75,2.384848003542364
cubic_meter,7,10,2,6,6.25,2.8613807855648994
Dwt,5,10,1,11,6.75,4.02336923485777
GT,4,10,5,9,7.0,2.5495097567963922
ME_W_ref_first,10,10,6,8,8.5,1.6583123951777
t_over_t_ref_without_m_sum,11,10,11,12,11.0,0.7071067811865476
Depth.Moulded..m.,12,10,13,10,11.25,1.299038105676658
LDT,13,10,12,13,12.0,1.224744871391589
