,cb,gb,lasso,linear,rf,ridge,mean,sd
GT,2,1,1,3,1,4,2.0,1.1547005383792515
LOA..m.,1,4,2,5,7,1,3.3333333333333335,2.2110831935702664
HP.Total.Propulsion,4,7,3,1,6,3,4.0,2.0
Depth.Moulded..m.,3,6,5,8,3,6,5.166666666666667,1.7716909687891083
Dwt,6,2,10,4,2,8,5.333333333333333,2.981423969999719
cubic_meter,8,3,6,9,4,7,6.166666666666667,2.1147629234082532
speed_mean,7,5,10,7,5,5,6.5,1.8027756377319946
Beam.Mld..m.,10,10,4,6,12,2,7.333333333333333,3.5901098714230026
NT,5,8,10,12,8,9,8.666666666666666,2.134374745810949
ME_W_ref_first,9,11,10,2,10,13,9.166666666666666,3.435921354681384
t_over_t_ref_without_m_sum,11,9,10,11,9,11,10.166666666666666,0.8975274678557508
Main.Bunker.Capacity..m3.,12,12,10,10,11,10,10.833333333333334,0.8975274678557508
LDT,13,13,10,13,13,12,12.333333333333334,1.1055415967851334
