,gb,lasso,linear,ridge,mean,sd
Ballast.Cap..cu.m.,2,3,18,3,6.5,6.652067347825035
age,5,7,19,1,8.0,6.708203932499369
LOA..m.,18,1,9,7,8.75,6.098155458825234
Main.Bunker.Capacity..m3.,3,5,23,6,9.25,8.011710179481033
Beam.Mld..m.,16,2,16,4,9.5,6.5383484153110105
NT,8,19,4,9,10.0,5.522680508593631
port_frac,4,19,17,2,10.5,7.566372975210778
v_over_v_ref_without_n_sum,6,19,2,20,11.75,7.8859051477937525
speed_mean,12,6,25,5,12.0,7.968688725254614
HP.Total.Propulsion,19,4,14,11,12.0,5.431390245600108
distance_sum,10,19,3,19,12.75,6.722164829874376
GT,13,19,7,14,13.25,4.264680527307995
cubic_meter,17,19,5,12,13.25,5.402545696243577
Dwt,20,19,1,17,14.25,7.725768570181222
work_sum,11,19,10,22,15.5,5.123475382979799
t_m_times_v_n_sum,15,19,6,27,16.75,7.562241731127087
LBP..m.,21,19,20,8,17.0,5.244044240850758
cal_fc,7,19,13,31,17.5,8.874119674649425
Draught..m.,23,19,12,16,17.5,4.031128874149275
v_over_v_ref_with_n_sum,9,19,22,21,17.75,5.165994579942956
Depth.Moulded..m.,24,19,15,15,18.25,3.6996621467371855
TPC,14,19,30,10,18.25,7.495832175282475
ME_W_ref_first,22,19,21,13,18.75,3.491060010942235
t_over_t_ref_without_m_sum,25,19,8,25,19.25,6.94172168845741
missing_frac_sea,1,19,28,30,19.5,11.4564392373896
t_over_t_ref_with_m_sum,28,19,11,28,21.5,7.088723439378913
W_component_first,26,19,24,18,21.75,3.344772040064913
trip_nunique,27,19,31,23,25.0,4.47213595499958
LDT,30,19,27,26,25.5,4.031128874149275
Speed..knots.,29,19,26,29,25.75,4.085033659592048
total_jump_distance,31,19,29,24,25.75,4.656984002549289
