,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,7,2,6,3.0,2.516611478423583
t_over_t_ref_with_m_sum,5,4,3,2,6,2,3.6666666666666665,1.4907119849998596
cal_fc,2,2,7,10,1,10,5.333333333333333,3.815174380753199
t_over_t_ref_without_m_sum,4,5,19,1,5,1,5.833333333333333,6.121455890735652
GT,14,8,2,3,9,3,6.5,4.272001872658765
rel_power_ship_sum,11,7,5,4,24,5,9.333333333333334,6.944222218666553
v_over_v_ref_without_n_sum,3,3,19,13,7,12,9.5,5.766281297335398
LOA..m.,6,9,19,8,13,8,10.5,4.349329450233296
LBP..m.,12,16,19,5,10,4,11.0,5.41602560309064
Draught..m.,8,10,19,14,4,14,11.5,4.8218253804964775
ME_W_ref_first,17,15,4,11,11,11,11.5,4.0722639076235385
v_over_v_ref_with_n_sum,9,6,19,6,23,7,11.666666666666666,6.774133810967191
Dwt,20,12,19,9,8,9,12.833333333333334,4.8790937227681495
rel_power_ship_cubed_sum,7,11,19,19,3,19,13.0,6.429100507328637
age,15,13,6,17,19,16,14.333333333333334,4.14996653266291
Beam.Mld..m.,10,17,19,16,15,17,15.666666666666666,2.808716591058786
NT,19,21,19,15,14,15,17.166666666666668,2.608745973749755
port_frac,18,19,9,18,22,18,17.333333333333332,3.9860869143671325
trip_nunique,16,14,19,20,16,20,17.5,2.29128784747792
rel_power_ship_squared_sum,25,22,19,12,18,13,18.166666666666668,4.597704741377907
TPC,21,24,8,22,17,22,19.0,5.354126134736337
Size.Category,13,20,19,21,26,21,20.0,3.8297084310253524
missing_frac_sea,22,23,10,24,21,24,20.666666666666668,4.887626099538393
Main.Bunker.Capacity..m3.,23,18,19,26,12,26,20.666666666666668,4.955356249106169
Speed..knots.,24,25,19,23,20,23,22.333333333333332,2.1343747458109497
LDT,26,26,19,27,25,27,25.0,2.7688746209726918
total_jump_distance,27,27,19,25,27,25,25.0,2.8284271247461903
ME_SFC_base_first,28,28,19,28,28,28,26.5,3.3541019662496847
