,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,6,2,5,2.6666666666666665,2.0548046676563256
t_over_t_ref_with_m_sum,5,5,3,2,7,2,4.0,1.8257418583505538
t_over_t_ref_without_m_sum,4,4,19,1,4,1,5.5,6.18465843842649
cal_fc,3,3,19,8,1,8,7.0,5.972157622389639
GT,15,9,2,3,10,3,7.0,4.725815626252608
v_over_v_ref_without_n_sum,2,2,19,13,6,12,9.0,6.2182527020592095
ME_W_ref_first,8,10,5,11,9,11,9.0,2.0816659994661326
rel_power_ship_sum,14,6,4,4,23,4,9.166666666666666,7.1278015934477
LBP..m.,7,14,19,7,5,7,9.833333333333334,4.9805175991613115
v_over_v_ref_with_n_sum,6,7,19,5,24,6,11.166666666666666,7.470311610338323
LOA..m.,10,13,19,10,11,10,12.166666666666666,3.2360813064912666
age,11,12,6,16,18,16,13.166666666666666,4.017323597731316
Dwt,16,15,19,9,13,9,13.5,3.640054944640259
Draught..m.,17,8,19,15,8,15,13.666666666666666,4.2295258468165065
rel_power_ship_cubed_sum,9,11,19,20,3,20,13.666666666666666,6.472162612982533
NT,12,20,19,14,15,14,15.666666666666666,2.8674417556808756
rel_power_ship_squared_sum,25,16,19,12,14,13,16.5,4.425306015783918
Beam.Mld..m.,13,18,9,19,21,19,16.5,4.153311931459037
port_frac,19,21,7,17,22,18,17.333333333333332,4.921607686744467
trip_nunique,20,17,19,21,16,21,19.0,1.9148542155126762
Main.Bunker.Capacity..m3.,21,19,19,26,12,26,20.5,4.7871355387816905
missing_frac_sea,24,23,8,24,20,24,20.5,5.766281297335398
TPC,18,25,19,22,17,22,20.5,2.753785273643051
Size.Category,22,22,19,18,26,17,20.666666666666668,3.0368111930481
Speed..knots.,23,24,19,23,19,23,21.833333333333332,2.034425935955617
total_jump_distance,27,27,19,25,25,25,24.666666666666668,2.68741924943285
LDT,26,26,19,27,27,27,25.333333333333332,2.8674417556808756
ME_SFC_base_first,28,28,19,28,28,28,26.5,3.3541019662496847
