,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,2,2,1.5,0.5
v_over_v_ref_without_n_sum,2,2,1,1,1.5,0.5
t_m_times_v_n_sum,3,5,7,5,5.0,1.4142135623730951
LOA..m.,9,7,5,3,6.0,2.23606797749979
t_over_t_ref_without_m_sum,8,6,8,7,7.25,0.82915619758885
v_over_v_ref_with_n_sum,5,19,3,6,8.25,6.299801584177076
NT,10,3,11,10,8.5,3.2015621187164243
HP.Total.Propulsion,13,4,10,8,8.75,3.2691742076555053
LBP..m.,12,19,6,4,10.25,5.84700778176325
t_over_t_ref_with_m_sum,6,19,9,9,10.75,4.9180788932265
work_sum,4,19,4,21,12.0,8.031189202104505
age,11,8,16,15,12.5,3.2015621187164243
W_component_first,16,11,13,12,13.0,1.8708286933869707
Draught..m.,7,14,17,16,13.5,3.905124837953327
ME_W_ref_first,14,19,12,11,14.0,3.082207001484488
missing_frac_sea,15,10,21,19,16.25,4.205650960315181
trip_nunique,17,13,18,17,16.25,1.920286436967152
Ballast.Cap..cu.m.,18,9,20,20,16.75,4.548351349665063
Bale.Capacity..cu.m.,20,12,19,18,17.25,3.112474899497183
Size.Category,21,19,15,14,17.25,2.8613807855648994
Service.Speed..knots.,24,19,14,13,17.5,4.387482193696061
Operational.Speed..knots.,19,19,22,22,20.5,1.5
Speed..knots.,23,19,23,23,22.0,1.7320508075688772
West.Coast.Africa.Deployment..Time.in.Last.12.Months....,22,19,24,24,22.25,2.0463381929681126
