,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,2,2,1,1,1.5,0.5
distance_sum,1,1,3,3,2.0,1.0
t_m_times_v_n_sum,3,3,2,2,2.5,0.5
LOA..m.,11,5,4,4,6.0,2.9154759474226504
Draught..m.,6,8,8,5,6.75,1.299038105676658
t_over_t_ref_without_m_sum,4,4,13,7,7.0,3.6742346141747673
work_sum,5,18,5,6,8.5,5.5
HP.Total.Propulsion,7,6,12,10,8.75,2.384848003542364
NT,14,10,10,8,10.5,2.179449471770337
Beam.Mld..m.,18,7,11,9,11.25,4.14578098794425
Dwt,8,18,7,12,11.25,4.322904116447646
LBP..m.,12,18,6,11,11.75,4.264680527307995
age,10,9,15,15,12.25,2.7726341266023544
W_component_first,16,13,9,13,12.75,2.48746859276655
trip_nunique,13,12,16,16,14.25,1.7853571071357126
missing_frac_sea,15,11,17,17,15.0,2.449489742783178
port_frac,9,15,19,18,15.25,3.897114317029974
Size.Category,21,18,14,14,16.75,2.947456530637899
TPC,19,14,18,19,17.5,2.0615528128088303
longest_jump,17,18,21,21,19.25,1.7853571071357126
Speed..knots.,20,18,20,20,19.5,0.8660254037844386
