,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,2,1,3,2,3,2.0,0.816496580927726
v_over_v_ref_without_n_sum,3,1,2,1,4,1,2.0,1.1547005383792515
t_m_times_v_n_sum,2,3,3,2,1,2,2.1666666666666665,0.6871842709362768
Draught..m.,7,6,8,8,5,5,6.5,1.2583057392117916
t_over_t_ref_without_m_sum,4,4,4,13,9,7,6.833333333333333,3.337497399083464
LOA..m.,11,9,5,4,8,4,6.833333333333333,2.6718699236468995
HP.Total.Propulsion,8,8,6,12,3,10,7.833333333333333,2.852873794770615
work_sum,5,5,18,5,13,6,8.666666666666666,5.055250296034367
NT,15,12,10,10,6,8,10.166666666666666,2.852873794770615
age,6,10,9,15,12,15,11.166666666666666,3.2360813064912666
Beam.Mld..m.,13,17,7,11,10,9,11.166666666666666,3.1841621957571333
Dwt,12,11,18,7,7,12,11.166666666666666,3.7155828016013257
LBP..m.,9,16,18,6,14,11,12.333333333333334,4.109609335312651
W_component_first,17,15,13,9,16,13,13.833333333333334,2.608745973749755
missing_frac_sea,14,14,11,17,15,17,14.666666666666666,2.0548046676563256
trip_nunique,16,13,12,16,19,16,15.333333333333334,2.2852182001336816
Size.Category,10,21,18,14,21,14,16.333333333333332,4.027681991198191
port_frac,18,7,18,19,18,18,16.333333333333332,4.189935029992179
TPC,19,19,14,18,11,19,16.666666666666668,3.0912061651652345
longest_jump,20,18,18,21,17,21,19.166666666666668,1.5723301886761007
Speed..knots.,21,20,18,20,20,20,19.833333333333332,0.8975274678557505
