,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,2,2,2,2,1.6666666666666667,0.4714045207910317
v_over_v_ref_without_n_sum,2,2,1,1,4,1,1.8333333333333333,1.0671873729054748
t_m_times_v_n_sum,3,3,3,5,1,5,3.3333333333333335,1.3743685418725535
t_over_t_ref_without_m_sum,4,6,5,7,11,4,6.166666666666667,2.4094720491334933
Draught..m.,7,7,8,9,5,6,7.0,1.2909944487358056
LOA..m.,5,12,4,6,8,12,7.833333333333333,3.1841621957571333
HP.Total.Propulsion,11,10,6,14,3,7,8.5,3.593976442141304
t_over_t_ref_with_m_sum,8,4,19,8,9,3,8.5,5.188127472091127
Beam.Mld..m.,12,18,7,13,10,8,11.333333333333334,3.636237371545238
v_over_v_ref_with_n_sum,10,8,19,3,19,9,11.333333333333334,5.849976258261415
work_sum,6,5,19,4,17,19,11.666666666666666,6.724747000610671
age,9,11,10,17,13,13,12.166666666666666,2.608745973749755
NT,21,14,12,12,6,10,12.5,4.536885862938733
Dwt,16,13,19,10,7,18,13.833333333333334,4.29793231940921
W_component_first,15,17,9,15,16,14,14.333333333333334,2.5603819159562025
missing_frac_sea,13,16,11,19,15,17,15.166666666666666,2.608745973749755
port_frac,14,9,15,21,21,11,15.166666666666666,4.561310727801336
LBP..m.,20,15,19,11,14,21,16.666666666666668,3.5901098714230026
trip_nunique,17,19,13,18,20,16,17.166666666666668,2.266911751455907
TPC,22,21,14,20,12,20,18.166666666666668,3.760171390892826
Size.Category,19,23,19,16,23,15,19.166666666666668,3.0776975521032313
longest_jump,18,20,19,22,18,23,20.0,1.9148542155126762
Speed..knots.,23,22,19,23,22,22,21.833333333333332,1.3437096247164249
