,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,1,1,1.0,0.0
LOA..m.,6,2,2,3,3.25,1.6393596310755
Draught..m.,4,6,3,2,3.75,1.479019945774904
Beam.Mld..m.,12,3,5,5,6.25,3.418698582794336
NT,13,5,4,4,6.5,3.774917217635375
cal_fc,2,7,12,9,7.5,3.640054944640259
HP.Total.Propulsion,14,4,8,6,8.0,3.7416573867739413
Dwt,5,15,6,7,8.25,3.960744879438715
trip_nunique,3,9,11,11,8.5,3.278719262151
age,8,8,10,10,9.0,1.0
LBP..m.,10,15,7,12,11.0,2.9154759474226504
port_frac,7,11,14,14,11.5,2.8722813232690143
missing_frac_sea,11,10,13,13,11.75,1.299038105676658
Size.Category,17,15,9,8,12.25,3.832427429188973
longest_jump,9,13,17,17,14.0,3.3166247903554
TPC,16,12,15,15,14.5,1.5
Speed..knots.,15,15,16,16,15.5,0.5
