,gb,lasso,linear,ridge,mean,sd
work_sum,1,1,1,1,1.0,0.0
trip_nunique,2,2,6,2,3.0,1.7320508075688772
LOA..m.,10,3,2,3,4.5,3.2015621187164243
NT,12,4,4,4,6.0,3.4641016151377544
HP.Total.Propulsion,6,5,10,7,7.0,1.8708286933869707
missing_frac_sea,8,6,9,6,7.25,1.299038105676658
Beam.Mld..m.,13,7,7,5,8.0,3.0
age,7,8,11,8,8.5,1.5
port_frac,3,10,12,9,8.5,3.3541019662496847
Draught..m.,4,12,8,11,8.75,3.112474899497183
Dwt,5,15,3,13,9.0,5.0990195135927845
LBP..m.,11,15,5,14,11.25,3.897114317029974
TPC,14,9,13,10,11.5,2.0615528128088303
Speed..knots.,15,11,14,12,13.0,1.5811388300841898
longest_jump,9,13,15,15,13.0,2.449489742783178
Size.Category,16,14,16,16,15.5,0.8660254037844386
