,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,1,1,1.0,0.0
t_over_t_ref_with_m_sum,2,2,2,2,2.0,0.0
v_over_v_ref_with_n_sum,3,8,5,3,4.75,2.0463381929681126
Draught..m.,5,6,4,4,4.75,0.82915619758885
LOA..m.,9,3,3,10,6.25,3.2691742076555053
HP.Total.Propulsion,8,4,9,5,6.5,2.0615528128088303
Beam.Mld..m.,15,5,8,7,8.75,3.766629793329841
NT,12,9,7,8,9.0,1.8708286933869707
port_frac,4,16,12,6,9.5,4.769696007084728
age,11,7,13,11,10.5,2.179449471770337
W_component_first,10,12,14,9,11.25,1.920286436967152
trip_nunique,7,11,15,13,11.5,2.958039891549808
Dwt,6,16,10,15,11.75,4.02336923485777
LBP..m.,13,16,6,17,13.0,4.301162633521313
missing_frac_sea,14,10,16,14,13.5,2.179449471770337
Size.Category,19,16,11,12,14.5,3.2015621187164243
TPC,18,13,17,16,16.0,1.8708286933869707
Speed..knots.,17,16,18,18,17.25,0.82915619758885
longest_jump,16,16,19,19,17.5,1.5
