,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,2,2,1,1,1.5,0.5
distance_sum,1,1,2,2,1.5,0.5
t_m_times_v_n_sum,4,8,3,5,5.0,1.8708286933869707
t_over_t_ref_without_m_sum,6,3,16,4,7.25,5.165994579942956
Draught..m.,8,7,10,6,7.75,1.479019945774904
LOA..m.,11,4,5,12,8.0,3.5355339059327378
t_over_t_ref_with_m_sum,5,19,8,3,8.75,6.179603547154137
v_over_v_ref_with_n_sum,7,19,4,10,10.0,5.612486080160912
HP.Total.Propulsion,15,6,13,7,10.25,3.832427429188973
Beam.Mld..m.,20,5,11,8,11.0,5.612486080160912
NT,17,10,9,9,11.25,3.344772040064913
age,10,9,15,14,12.0,2.5495097567963922
W_component_first,13,13,12,13,12.75,0.4330127018922193
cal_fc,3,11,19,18,12.75,6.417748826496718
Dwt,12,19,7,19,14.25,5.0682837331783235
port_frac,9,19,21,11,15.0,5.0990195135927845
LBP..m.,14,19,6,21,15.0,5.787918451395113
missing_frac_sea,16,12,18,17,15.75,2.277608394786075
trip_nunique,18,14,17,16,16.25,1.479019945774904
Size.Category,23,19,14,15,17.75,3.5619517121937516
TPC,21,15,20,20,19.0,2.345207879911715
longest_jump,19,19,23,23,21.0,2.0
Speed..knots.,22,19,22,22,21.25,1.299038105676658
