,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,1,1,1.0,0.0
t_over_t_ref_without_m_sum,4,2,4,3,3.25,0.82915619758885
Draught..m.,5,3,2,4,3.5,1.118033988749895
v_over_v_ref_without_n_sum,2,16,6,2,6.5,5.722761571129799
cal_fc,3,7,11,6,6.75,2.8613807855648994
LOA..m.,8,4,3,12,6.75,3.5619517121937516
NT,12,8,5,5,7.5,2.8722813232690143
Beam.Mld..m.,16,5,7,7,8.75,4.264680527307995
HP.Total.Propulsion,15,6,10,8,9.75,3.344772040064913
age,9,9,12,11,10.25,1.299038105676658
trip_nunique,10,11,13,13,11.75,1.299038105676658
Dwt,7,16,15,10,12.0,3.6742346141747673
LBP..m.,11,16,8,17,13.0,3.6742346141747673
port_frac,6,16,16,14,13.0,4.123105625617661
missing_frac_sea,14,10,14,15,13.25,1.920286436967152
Size.Category,19,16,9,9,13.25,4.380353866983808
Speed..knots.,13,16,18,16,15.75,1.7853571071357126
TPC,18,13,17,18,16.5,2.0615528128088303
longest_jump,17,12,19,19,16.75,2.8613807855648994
