,gb,lasso,linear,ridge,mean,sd
trip_nunique,1,1,1,1,1.0,0.0
port_frac,2,2,2,2,2.0,0.0
longest_jump,3,4,6,4,4.25,1.0897247358851685
LBP..m.,7,3,4,5,4.75,1.479019945774904
NT,11,5,3,3,5.5,3.278719262151
HP.Total.Propulsion,5,6,7,6,6.0,0.7071067811865476
Beam.Mld..m.,10,7,8,8,8.25,1.0897247358851685
Dwt,4,12,5,12,8.25,3.766629793329841
LOA..m.,6,12,12,7,9.25,2.7726341266023544
missing_frac_sea,9,8,11,11,9.75,1.299038105676658
TPC,12,12,10,10,11.0,1.0
Size.Category,15,12,9,9,11.25,2.48746859276655
Draught..m.,8,12,14,14,12.0,2.449489742783178
age,13,9,13,13,12.0,1.7320508075688772
Speed..knots.,14,12,15,15,14.0,1.224744871391589
