,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,1,1,1.0,0.0
Draught..m.,3,6,3,2,3.5,1.5
LOA..m.,7,2,2,3,3.5,2.0615528128088303
HP.Total.Propulsion,5,3,7,6,5.25,1.479019945774904
NT,11,5,4,4,6.0,2.9154759474226504
Beam.Mld..m.,13,4,5,5,6.75,3.6314597615834874
trip_nunique,2,8,11,10,7.75,3.491060010942235
Dwt,6,14,6,7,8.25,3.344772040064913
age,10,7,10,9,9.0,1.224744871391589
port_frac,4,10,13,13,10.0,3.6742346141747673
LBP..m.,8,14,8,12,10.5,2.598076211353316
missing_frac_sea,12,9,12,11,11.0,1.224744871391589
Size.Category,16,14,9,8,11.75,3.344772040064913
TPC,14,11,14,14,13.25,1.299038105676658
longest_jump,9,14,16,16,13.75,2.8613807855648994
Speed..knots.,15,14,15,15,14.75,0.4330127018922193
