,cb,gb,lasso,linear,rf,ridge,mean,sd
v_over_v_ref_without_n_sum,3,4,1,1,7,1,2.8333333333333335,2.1921577396609844
cal_fc,1,1,6,3,1,14,4.333333333333333,4.6785562825394
t_over_t_ref_with_m_sum,6,6,2,7,6,2,4.833333333333333,2.034425935955617
distance_sum,2,3,19,2,3,3,5.333333333333333,6.128258770283413
t_over_t_ref_without_m_sum,5,5,19,4,5,4,7.0,5.385164807134504
t_m_times_v_n_sum,4,2,19,5,2,22,9.0,8.246211251235321
Draught..m.,8,7,11,15,8,8,9.5,2.753785273643051
W_component_first,11,11,7,14,4,10,9.5,3.2015621187164243
LOA..m.,9,8,4,9,18,11,9.833333333333334,4.2196629670573875
NT,7,15,5,13,14,6,10.0,4.08248290463863
age,10,10,9,16,9,13,11.166666666666666,2.544056253745625
Beam.Mld..m.,23,18,3,11,13,7,12.5,6.626965117357014
ME_W_ref_first,13,19,8,8,16,12,12.666666666666666,3.9860869143671325
v_over_v_ref_with_n_sum,16,13,19,6,22,5,13.5,6.2915286960589585
Dwt,14,9,19,10,11,18,13.5,3.8622100754188224
trip_nunique,12,12,12,17,20,15,14.666666666666666,3.0368111930481
port_frac,18,17,10,18,17,9,14.833333333333334,3.8042374035044424
missing_frac_sea,15,16,13,20,10,17,15.166666666666666,3.131382371342656
LBP..m.,17,14,19,12,19,20,16.833333333333332,2.9107081994288304
TPC,20,21,14,21,12,19,17.833333333333332,3.531603350069515
longest_jump,19,20,15,23,21,21,19.833333333333332,2.4776781245530843
Size.Category,21,22,19,19,23,16,20.0,2.309401076758503
Speed..knots.,22,23,19,22,15,23,20.666666666666668,2.8674417556808756
