,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,2,1,1,1,1.25,0.4330127018922193
t_over_t_ref_with_m_sum,5,2,7,2,4.0,2.1213203435596424
cal_fc,1,6,3,14,6.0,4.949747468305833
distance_sum,4,19,2,3,7.0,6.96419413859206
Beam.Mld..m.,9,4,11,7,7.75,2.5860201081971503
t_over_t_ref_without_m_sum,6,19,4,4,8.25,6.2599920127744575
LOA..m.,13,3,9,11,9.0,3.7416573867739413
v_over_v_ref_with_n_sum,7,19,6,5,9.25,5.673402858955108
NT,15,5,13,6,9.75,4.322904116447646
W_component_first,11,7,14,10,10.5,2.5
Draught..m.,12,11,15,8,11.5,2.5
ME_W_ref_first,20,8,8,12,12.0,4.898979485566356
age,10,9,16,13,12.0,2.7386127875258306
t_m_times_v_n_sum,3,19,5,22,12.25,8.347903928532
port_frac,17,10,18,9,13.5,4.031128874149275
Dwt,8,19,10,18,13.75,4.815340071064556
trip_nunique,16,12,17,15,15.0,1.8708286933869707
missing_frac_sea,14,13,20,17,16.0,2.7386127875258306
LBP..m.,18,19,12,20,17.25,3.112474899497183
Size.Category,21,19,19,16,18.75,1.7853571071357126
TPC,22,14,21,19,19.0,3.082207001484488
longest_jump,19,15,23,21,19.5,2.958039891549808
Speed..knots.,23,19,22,23,21.75,1.6393596310755
