,cb,gb,lasso,linear,rf,ridge,mean,sd
cal_fc,2,2,6,7,1,19,6.166666666666667,6.148622248565572
t_m_times_v_n_sum,4,5,1,11,2,18,6.833333333333333,5.927806414592913
LOA..m.,7,7,3,5,17,4,7.166666666666667,4.633812924819281
t_over_t_ref_without_m_sum,6,4,15,2,6,17,8.333333333333334,5.617433182117572
distance_sum,1,1,2,23,3,21,8.5,9.587318012179772
t_over_t_ref_with_m_sum,5,6,15,1,5,20,8.666666666666666,6.599663291074444
v_over_v_ref_without_n_sum,3,3,15,3,7,22,8.833333333333334,7.266743118863881
W_component_first,8,10,15,14,4,3,9.0,4.546060565661952
Draught..m.,14,8,15,9,8,5,9.833333333333334,3.531603350069515
Beam.Mld..m.,16,18,4,12,14,2,11.0,5.972157622389639
port_frac,18,17,5,10,18,1,11.5,6.701989754294367
LBP..m.,12,13,15,4,21,8,12.166666666666666,5.335936864527374
age,9,11,15,18,9,14,12.666666666666666,3.2998316455372216
Dwt,17,16,15,8,15,6,12.833333333333334,4.2196629670573875
trip_nunique,11,14,15,6,19,16,13.5,4.112987559751022
NT,19,12,15,16,13,7,13.666666666666666,3.7267799624996494
missing_frac_sea,13,15,15,19,10,13,14.166666666666666,2.733536577809454
ME_W_ref_first,10,19,15,15,16,10,14.166666666666666,3.2360813064912666
TPC,22,20,15,20,11,9,16.166666666666668,4.879093722768149
Size.Category,15,23,15,13,23,11,16.666666666666668,4.678556282539399
Speed..knots.,23,22,15,17,12,12,16.833333333333332,4.374801582802229
v_over_v_ref_with_n_sum,20,9,15,22,22,23,18.5,4.9916597106239795
longest_jump,21,21,15,21,20,15,18.833333333333332,2.733536577809454
