,gb,lasso,linear,ridge,mean,sd
LOA..m.,10,3,5,4,5.5,2.692582403567252
t_m_times_v_n_sum,2,1,11,18,8.0,6.96419413859206
Beam.Mld..m.,15,4,12,2,8.25,5.402545696243577
port_frac,18,5,10,1,8.5,6.34428877022476
cal_fc,3,6,7,19,8.75,6.098155458825234
Draught..m.,8,15,9,5,9.25,3.6314597615834874
Dwt,9,15,8,6,9.5,3.3541019662496847
t_over_t_ref_without_m_sum,6,15,2,17,10.0,6.2048368229954285
LBP..m.,14,15,4,8,10.25,4.493050188902857
t_over_t_ref_with_m_sum,5,15,1,20,10.25,7.595228765481656
v_over_v_ref_without_n_sum,4,15,3,22,11.0,7.905694150420948
W_component_first,12,15,14,3,11.0,4.743416490252569
distance_sum,1,2,23,21,11.75,10.280442597476044
trip_nunique,13,15,6,16,12.5,3.905124837953327
NT,16,15,16,7,13.5,3.774917217635375
age,11,15,18,14,14.5,2.5
ME_W_ref_first,19,15,15,10,14.75,3.191786333700926
Size.Category,22,15,13,11,15.25,4.14578098794425
missing_frac_sea,17,15,19,13,16.0,2.23606797749979
TPC,21,15,20,9,16.25,4.763139720814412
v_over_v_ref_with_n_sum,7,15,22,23,16.75,6.417748826496718
Speed..knots.,23,15,17,12,16.75,4.02336923485777
longest_jump,20,15,21,15,17.75,2.7726341266023544
