,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,3,2,1,1,3,1,1.8333333333333333,0.8975274678557507
cal_fc,2,4,4,3,1,3,2.8333333333333335,1.0671873729054748
v_over_v_ref_without_n_sum,4,1,2,2,7,2,3.0,2.0
t_m_times_v_n_sum,1,3,8,4,2,4,3.6666666666666665,2.2110831935702664
LOA..m.,7,7,3,7,12,7,7.166666666666667,2.608745973749755
t_over_t_ref_without_m_sum,5,5,6,16,4,19,9.166666666666666,5.983774357005413
t_over_t_ref_with_m_sum,6,6,19,10,6,13,10.0,4.795831523312719
Draught..m.,12,8,7,15,8,12,10.333333333333334,2.8674417556808756
W_component_first,8,14,9,19,5,18,12.166666666666666,5.2094998693625945
trip_nunique,10,9,12,13,15,15,12.333333333333334,2.2852182001336816
age,9,10,10,17,13,16,12.5,3.095695936834452
ME_W_ref_first,16,19,11,6,19,6,12.833333333333334,5.520165053893065
v_over_v_ref_with_n_sum,13,15,19,5,22,5,13.166666666666666,6.439893028787219
Dwt,14,16,19,12,9,11,13.5,3.304037933599835
TPC,11,12,13,18,10,17,13.5,2.9860788111948193
Beam.Mld..m.,19,20,5,9,20,9,13.666666666666666,6.1553951042064625
NT,22,18,19,8,11,8,14.333333333333334,5.557777333511022
LBP..m.,15,11,19,14,14,14,14.5,2.362907813126304
Size.Category,17,23,19,11,23,10,17.166666666666668,5.177408189003022
longest_jump,20,17,14,20,17,20,18.0,2.23606797749979
port_frac,18,13,19,21,21,21,18.833333333333332,2.8528737947706153
missing_frac_sea,21,21,15,22,18,22,19.833333333333332,2.544056253745625
Speed..knots.,23,22,19,23,16,23,21.0,2.6457513110645907
