,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,1,1,2,2,1.5,0.5
distance_sum,5,2,1,1,2.25,1.6393596310755
t_m_times_v_n_sum,2,6,4,4,4.0,1.4142135623730951
cal_fc,3,7,3,3,4.0,1.7320508075688772
LOA..m.,8,3,7,7,6.25,1.920286436967152
v_over_v_ref_with_n_sum,7,19,5,5,9.0,5.830951894845301
Beam.Mld..m.,16,5,9,9,9.75,3.960744879438715
ME_W_ref_first,21,9,6,6,10.5,6.18465843842649
t_over_t_ref_without_m_sum,6,4,16,19,11.25,6.378675411086537
t_over_t_ref_with_m_sum,4,19,10,13,11.5,5.408326913195984
Draught..m.,12,8,15,12,11.75,2.48746859276655
trip_nunique,9,12,13,15,12.25,2.165063509461097
Dwt,10,19,12,11,13.0,3.5355339059327378
NT,17,19,8,8,13.0,5.049752469181039
age,14,10,17,16,14.25,2.680951323690902
LBP..m.,13,19,14,14,15.0,2.345207879911715
Size.Category,23,19,11,10,15.75,5.448623679425842
W_component_first,15,11,19,18,15.75,3.112474899497183
TPC,19,13,18,17,16.75,2.277608394786075
longest_jump,18,14,20,20,18.0,2.449489742783178
port_frac,11,19,21,21,18.0,4.123105625617661
missing_frac_sea,20,15,22,22,19.75,2.8613807855648994
Speed..knots.,22,19,23,23,21.75,1.6393596310755
