,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,1,1,1.0,0.0
LOA..m.,5,2,2,3,3.0,1.224744871391589
Beam.Mld..m.,7,3,3,2,3.75,1.920286436967152
Draught..m.,4,5,4,4,4.25,0.4330127018922193
ME_W_ref_first,11,4,5,5,6.25,2.7726341266023544
age,6,6,7,6,6.25,0.4330127018922193
Dwt,3,13,6,7,7.25,3.6314597615834874
port_frac,10,8,8,8,8.5,0.8660254037844386
cal_fc,2,7,12,14,8.75,4.656984002549289
missing_frac_sea,8,9,9,9,8.75,0.4330127018922193
TPC,12,10,10,11,10.75,0.82915619758885
LBP..m.,9,13,14,10,11.5,2.0615528128088303
total_jump_distance,14,11,11,12,12.0,1.224744871391589
Speed..knots.,13,13,13,13,13.0,0.0
