,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,3,1,2,2,2.0,0.7071067811865476
t_over_t_ref_with_m_sum,5,3,4,3,3.75,0.82915619758885
GT,8,2,8,6,6.0,2.449489742783178
distance_sum,1,24,1,1,6.75,9.959292143521045
cal_fc,4,5,12,10,7.75,3.344772040064913
LOA..m.,13,13,6,7,9.75,3.2691742076555053
t_over_t_ref_without_m_sum,6,24,5,4,9.75,8.257572282456872
Beam.Mld..m.,20,9,7,12,12.0,4.949747468305833
cubic_meter,18,24,3,5,12.5,8.789197915623474
t_m_times_v_n_sum,2,24,14,13,13.25,7.790218225441442
v_over_v_ref_with_n_sum,12,24,9,8,13.25,6.378675411086537
port_frac,10,8,19,18,13.75,4.815340071064556
age,9,7,20,19,13.75,5.80409338312195
HP.Total.Propulsion,22,6,17,17,15.5,5.852349955359813
W_component_first,17,4,21,20,15.5,6.800735254367722
speed_mean,19,24,11,9,15.75,6.057020719792859
trip_nunique,11,12,23,22,17.0,5.522680508593631
Dwt,15,24,15,15,17.25,3.897114317029974
NT,23,16,16,16,17.75,3.031088913245535
work_sum,7,24,18,24,18.25,6.94172168845741
LBP..m.,25,24,13,11,18.25,6.299801584177076
missing_frac_sea,16,11,24,23,18.5,5.315072906367325
Depth.Moulded..m.,26,24,10,14,18.5,6.689544080129826
Ballast.Cap..cu.m.,21,10,25,26,20.5,6.34428877022476
Draught..m.,14,24,27,25,22.5,5.024937810560445
ME_W_ref_first,27,24,22,21,23.5,2.29128784747792
total_jump_distance,31,14,26,27,24.5,6.34428877022476
Main.Bunker.Capacity..m3.,24,24,28,28,26.0,2.0
TPC,28,15,31,31,26.25,6.609652033201143
Speed..knots.,29,24,29,29,27.75,2.165063509461097
LDT,30,24,30,30,28.5,2.598076211353316
