,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,2,1,3,9,3,29,7.833333333333333,9.805044053388484
t_m_times_v_n_sum,4,3,1,12,2,27,8.166666666666666,9.154537429906306
cal_fc,3,2,6,11,1,26,8.166666666666666,8.62972897733308
GT,8,11,2,7,22,7,9.5,6.18465843842649
t_over_t_ref_without_m_sum,5,6,19,2,5,24,10.166666666666666,8.234412884690418
t_over_t_ref_with_m_sum,6,5,19,1,7,25,10.5,8.51958527942137
v_over_v_ref_without_n_sum,1,4,19,3,8,30,10.833333333333334,10.382945418115012
LOA..m.,13,12,5,6,23,9,11.333333333333334,5.962847939999439
W_component_first,11,15,19,18,4,4,11.833333333333334,6.094168432927407
port_frac,9,22,4,16,25,1,12.833333333333334,8.896004096721677
work_sum,7,7,19,8,14,31,14.333333333333334,8.634555897992412
trip_nunique,12,9,19,10,20,23,15.5,5.377421934967226
age,10,10,19,23,11,20,15.5,5.315072906367325
cubic_meter,23,19,19,5,19,10,15.833333333333334,6.229410530343586
LBP..m.,17,21,19,4,27,11,16.5,7.342796923970229
missing_frac_sea,15,16,19,25,10,15,16.666666666666668,4.570436400267363
speed_mean,18,26,19,20,16,3,17.0,6.97614984548545
Beam.Mld..m.,16,27,19,15,24,2,17.166666666666668,7.987837977547839
Draught..m.,24,13,19,30,13,6,17.5,7.88986691902975
Ballast.Cap..cu.m.,20,20,19,24,6,17,17.666666666666668,5.617433182117573
Main.Bunker.Capacity..m3.,21,23,19,29,9,8,18.166666666666668,7.492588930996341
NT,28,17,19,17,17,12,18.333333333333332,4.818944098266987
HP.Total.Propulsion,19,18,19,13,26,18,18.833333333333332,3.8042374035044424
Depth.Moulded..m.,25,24,19,21,21,5,19.166666666666668,6.643710475998249
Dwt,27,14,19,26,18,13,19.5,5.377421934967226
ME_W_ref_first,22,25,19,14,28,19,21.166666666666668,4.524623986832743
TPC,26,28,19,27,15,14,21.5,5.737304826019502
Speed..knots.,29,29,19,19,12,21,21.5,5.993051532121734
v_over_v_ref_with_n_sum,14,8,19,31,29,28,21.5,8.5
LDT,30,31,19,28,30,16,25.666666666666668,5.90668171555645
total_jump_distance,31,30,19,22,31,22,25.833333333333332,4.94694069321861
