,gb,lasso,linear,ridge,mean,sd
GT,10,2,7,7,6.5,2.8722813232690143
LOA..m.,14,5,6,9,8.5,3.5
port_frac,20,4,16,1,10.25,7.949056547792323
distance_sum,2,3,9,29,10.75,10.871407452579449
t_m_times_v_n_sum,4,1,12,27,11.0,10.074720839804943
cal_fc,1,6,11,26,11.0,9.354143466934854
cubic_meter,15,19,5,10,12.25,5.261891294962297
t_over_t_ref_with_m_sum,5,19,1,25,12.5,9.836157786453
t_over_t_ref_without_m_sum,6,19,2,24,12.75,9.03811374126261
LBP..m.,19,19,4,11,13.25,6.2599920127744575
v_over_v_ref_without_n_sum,3,19,3,30,13.75,11.431863365173676
W_component_first,17,19,18,4,14.5,6.103277807866851
Beam.Mld..m.,24,19,15,2,15.0,8.154753215150045
trip_nunique,12,19,10,23,16.0,5.244044240850758
work_sum,7,19,8,31,16.25,9.730750228014282
Draught..m.,11,19,30,6,16.5,9.069178573608527
NT,21,19,17,12,17.25,3.344772040064913
speed_mean,27,19,20,3,17.25,8.78564169540279
Depth.Moulded..m.,25,19,21,5,17.5,7.533259586659682
age,9,19,23,20,17.75,5.261891294962297
Dwt,13,19,26,13,17.75,5.356071321407137
HP.Total.Propulsion,22,19,13,18,18.0,3.24037034920393
missing_frac_sea,16,19,25,15,18.75,3.897114317029974
ME_W_ref_first,26,19,14,19,19.5,4.272001872658765
Ballast.Cap..cu.m.,18,19,24,17,19.5,2.692582403567252
Main.Bunker.Capacity..m3.,23,19,29,8,19.75,7.660776723022281
v_over_v_ref_with_n_sum,8,19,31,28,21.5,8.958236433584458
Speed..knots.,29,19,19,21,22.0,4.123105625617661
TPC,28,19,27,14,22.0,5.787918451395113
total_jump_distance,30,19,22,22,23.25,4.085033659592048
LDT,31,19,28,16,23.5,6.18465843842649
