,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,2,1,1,1.1666666666666667,0.3726779962499649
GT,5,4,2,6,2,2,3.5,1.6072751268321592
HP.Total.Propulsion,4,2,3,8,3,5,4.166666666666667,1.9507833184532708
LOA..m.,3,8,4,4,7,8,5.666666666666667,2.0548046676563256
draught_mean,2,3,6,12,5,11,6.5,3.774917217635375
ME_W_ref_first,6,9,12,9,4,6,7.666666666666667,2.6246692913372702
Depth.Moulded..m.,9,5,12,5,6,12,8.166666666666666,3.0230595245361753
cubic_meter,12,10,12,1,10,4,8.166666666666666,4.179978734661485
Dwt,10,11,12,7,8,3,8.5,2.9860788111948193
NT,7,7,12,10,9,7,8.666666666666666,1.8856180831641265
Beam.Mld..m.,11,13,5,3,12,9,8.833333333333334,3.6704525909242065
speed_mean,8,6,7,11,11,10,8.833333333333334,1.950783318453271
Main.Bunker.Capacity..m3.,13,12,8,13,13,13,12.0,1.8257418583505538
LDT,14,14,9,14,14,14,13.166666666666666,1.863389981249825
