,cb,gb,lasso,linear,rf,ridge,mean,sd
distance_sum,1,1,1,3,1,2,1.5,0.7637626158259734
GT,10,2,2,4,2,3,3.8333333333333335,2.852873794770615
HP.Total.Propulsion,2,7,5,8,6,4,5.333333333333333,1.9720265943665385
cubic_meter,6,10,11,1,5,5,6.333333333333333,3.3499585403736303
draught_mean,3,3,7,12,4,10,6.5,3.5
LOA..m.,4,9,4,7,7,11,7.0,2.516611478423583
Dwt,13,11,11,2,9,1,7.833333333333333,4.633812924819281
Beam.Mld..m.,7,8,3,6,12,13,8.166666666666666,3.435921354681384
Depth.Moulded..m.,5,13,11,5,8,9,8.5,2.9297326385411577
ME_W_ref_first,9,5,11,9,10,7,8.5,1.9790570145063195
speed_mean,11,4,6,11,11,8,8.5,2.753785273643051
NT,12,12,11,10,3,6,9.0,3.366501646120693
Main.Bunker.Capacity..m3.,8,6,8,13,13,12,10.0,2.7688746209726918
LDT,14,14,11,14,14,14,13.5,1.118033988749895
