,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,2,2,1,1,1.5,0.5
distance_sum,1,1,2,5,2.25,1.6393596310755
t_m_times_v_n_sum,3,6,4,3,4.0,1.224744871391589
LOA..m.,10,3,3,2,4.5,3.2015621187164243
HP.Total.Propulsion,7,4,8,8,6.75,1.6393596310755
work_sum,5,18,5,4,8.0,5.787918451395113
Beam.Mld..m.,16,5,9,9,9.75,3.960744879438715
W_component_first,17,10,7,7,10.25,4.085033659592048
LBP..m.,13,18,6,6,10.75,5.0682837331783235
t_over_t_ref_without_m_sum,4,7,16,16,10.75,5.356071321407137
age,11,9,12,12,11.0,1.224744871391589
trip_nunique,12,12,11,11,11.5,0.5
Draught..m.,6,8,17,17,12.0,5.049752469181039
NT,14,13,14,13,13.5,0.5
Dwt,9,18,13,15,13.75,3.2691742076555053
missing_frac_sea,15,11,15,14,13.75,1.6393596310755
Size.Category,21,18,10,10,14.75,4.866980583482946
port_frac,8,18,20,20,16.5,4.9749371855331
TPC,19,14,18,18,17.25,1.920286436967152
Speed..knots.,20,18,19,19,19.0,0.7071067811865476
longest_jump,18,18,21,21,19.5,1.5
