,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,3,1,1,1,1.5,0.8660254037844386
t_m_times_v_n_sum,1,3,2,2,2.0,0.7071067811865476
distance_sum,2,2,4,3,2.75,0.82915619758885
LOA..m.,7,4,5,6,5.5,1.118033988749895
Draught..m.,6,8,6,5,6.25,1.0897247358851685
HP.Total.Propulsion,8,5,8,8,7.25,1.299038105676658
work_sum,5,18,3,4,7.5,6.103277807866851
t_over_t_ref_without_m_sum,4,6,15,9,8.5,4.153311931459037
Beam.Mld..m.,16,7,7,7,9.25,3.897114317029974
age,10,9,13,14,11.5,2.0615528128088303
trip_nunique,11,12,12,13,12.0,0.7071067811865476
W_component_first,15,10,11,12,12.0,1.8708286933869707
NT,12,18,10,11,12.75,3.112474899497183
Size.Category,21,18,9,10,14.5,5.123475382979799
TPC,19,11,14,15,14.75,2.8613807855648994
LBP..m.,9,18,17,19,15.75,3.960744879438715
missing_frac_sea,17,13,18,16,16.0,1.8708286933869707
Dwt,14,18,16,17,16.25,1.479019945774904
longest_jump,18,14,20,18,17.5,2.179449471770337
port_frac,13,18,19,21,17.75,2.947456530637899
Speed..knots.,20,18,21,20,19.75,1.0897247358851685
