"variable","static_dynamic","category","disjoint_c_name","djbrank","djcrank","djdname","djdrank","calc","decomp1","decomp2","decomp3","nocalcs","speeddist","work","oecd","struct","structfc"
"cal_fc","composite","composite","Calculated Fuel Consumption",1,1,"Calculated Fuel Consumption",1,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ME_W_ref_first","static","characteristic","Main engine characteristics",2,2,"Admiralty terms",2,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE"
"rel_power_ship_sum","composite","composite","Relative power term",99,3,"Admiralty terms",2,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"ME_SFC_base_first","static","characteristic","Main engine characteristics",99,2,"SFC components",3,"FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"rel_power_ship_squared_sum","composite","composite","Relative power term powers",99,4,"SFC components",3,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"rel_power_ship_cubed_sum","composite","composite","Relative power term powers",99,4,"SFC components",3,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Draught..m.","static","characteristic","Calculation characteristics",4,6,"Calculation characteristics",4,"FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"Speed..knots.","static","characteristic","Calculation characteristics",4,6,"Calculation characteristics",4,"FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"age","static","characteristic","Additional characteristics",5,7,"Additional characteristics",5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Beam.Mld..m.","static","characteristic","Additional characteristics",5,7,"Additional characteristics",5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
"Dwt","static","characteristic","Additional characteristics",5,7,"Additional characteristics",5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
"GT","static","characteristic","Additional characteristics",5,7,"Additional characteristics",5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
"LBP..m.","static","characteristic","Additional characteristics",5,7,"Additional characteristics",5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE"
"LDT","static","characteristic","Additional characteristics",5,7,"Additional characteristics",5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
"LOA..m.","static","characteristic","Additional characteristics",5,7,"Additional characteristics",5,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE"
