,cb,gb,lasso,linear,rf,ridge,mean,sd
LOA..m.,3,6,1,10,11,7,6.333333333333333,3.5433819375782165
v_over_v_ref_with_n_sum,15,7,3,6,2,6,6.5,4.193248541803041
age,2,4,6,17,7,10,7.666666666666667,4.85340659285368
port_frac,1,1,15,11,1,18,7.833333333333333,7.127801593447699
Beam.Mld..m.,8,8,2,12,16,5,8.5,4.536885862938733
distance_sum,9,9,15,1,15,3,8.666666666666666,5.343739847293799
NT,4,3,15,15,6,9,8.666666666666666,4.853406592853679
t_m_times_v_n_sum,12,16,15,5,4,4,9.333333333333334,5.153208277913436
ME_W_ref_first,7,17,4,8,10,11,9.5,4.031128874149275
Dwt,6,14,15,9,3,15,10.333333333333334,4.6785562825394
v_over_v_ref_without_n_sum,5,11,15,2,22,8,10.5,6.601767440112787
TPC,10,13,5,18,9,13,11.333333333333334,4.027681991198191
Draught..m.,13,15,15,13,5,16,12.833333333333334,3.6704525909242065
LBP..m.,14,10,15,14,13,12,13.0,1.632993161855452
longest_jump,11,2,15,22,8,23,13.5,7.455423082115014
t_over_t_ref_without_m_sum,20,22,15,4,18,2,13.5,7.740585679822081
t_over_t_ref_with_m_sum,23,21,15,3,19,1,13.666666666666666,8.615231988880057
missing_frac_sea,16,5,15,19,12,17,14.0,4.546060565661952
cal_fc,17,12,15,7,21,14,14.333333333333334,4.307615994440028
W_component_first,19,19,15,16,14,20,17.166666666666668,2.266911751455907
Speed..knots.,21,20,15,20,17,22,19.166666666666668,2.4094720491334933
Size.Category,18,18,15,21,23,21,19.333333333333332,2.6246692913372702
trip_nunique,22,23,15,23,20,19,20.333333333333332,2.8087165910587863
