,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_with_n_sum,6,3,6,6,5.25,1.299038105676658
LOA..m.,7,1,10,7,6.25,3.2691742076555053
Beam.Mld..m.,9,2,12,5,7.0,3.8078865529319543
distance_sum,11,15,1,3,7.5,5.722761571129799
ME_W_ref_first,13,4,8,11,9.0,3.391164991562634
age,3,6,17,10,9.0,5.244044240850758
v_over_v_ref_without_n_sum,14,15,2,8,9.75,5.2141634036535525
t_over_t_ref_with_m_sum,21,15,3,1,10.0,8.306623862918075
t_m_times_v_n_sum,17,15,5,4,10.25,5.80409338312195
t_over_t_ref_without_m_sum,22,15,4,2,10.75,8.166241485530538
NT,5,15,15,9,11.0,4.242640687119285
port_frac,1,15,11,18,11.25,6.417748826496718
cal_fc,10,15,7,14,11.5,3.2015621187164243
Dwt,8,15,9,15,11.75,3.2691742076555053
TPC,16,5,18,13,13.0,4.949747468305833
LBP..m.,12,15,14,12,13.25,1.299038105676658
missing_frac_sea,4,15,19,17,13.75,5.80409338312195
Draught..m.,15,15,13,16,14.75,1.0897247358851685
longest_jump,2,15,22,23,15.5,8.381527307120106
W_component_first,18,15,16,20,17.25,1.920286436967152
Size.Category,19,15,21,21,19.0,2.449489742783178
Speed..knots.,20,15,20,22,19.25,2.5860201081971503
trip_nunique,23,15,23,19,20.0,3.3166247903554
