,gb,lasso,linear,ridge,mean,sd
Beam.Mld..m.,6,1,9,3,4.75,3.031088913245535
NT,3,5,6,5,4.75,1.0897247358851685
port_frac,1,4,14,2,5.25,5.165994579942956
LOA..m.,8,2,7,4,5.25,2.384848003542364
age,4,3,15,1,5.75,5.448623679425842
Dwt,10,15,3,9,9.25,4.264680527307995
distance_sum,9,15,2,14,10.0,5.1478150704935
ME_W_ref_first,15,6,13,8,10.5,3.640054944640259
v_over_v_ref_without_n_sum,11,15,1,15,10.5,5.722761571129799
v_over_v_ref_with_n_sum,7,15,10,13,11.25,3.031088913245535
TPC,12,7,21,7,11.75,5.717298313014636
LBP..m.,14,15,12,6,11.75,3.491060010942235
missing_frac_sea,5,15,17,18,13.75,5.165994579942956
longest_jump,2,15,20,20,14.25,7.361215932167728
Draught..m.,16,15,16,10,14.25,2.48746859276655
t_m_times_v_n_sum,17,15,8,17,14.25,3.6996621467371855
cal_fc,13,15,11,21,15.0,3.7416573867739413
t_over_t_ref_with_m_sum,18,15,5,22,15.0,6.284902544988268
t_over_t_ref_without_m_sum,20,15,4,23,15.5,7.22841614740048
W_component_first,19,15,19,12,16.25,2.947456530637899
Size.Category,22,15,22,11,17.5,4.716990566028302
Speed..knots.,21,15,18,19,18.25,2.165063509461097
trip_nunique,23,15,23,16,19.25,3.766629793329841
