,gb,lasso,linear,ridge,mean,sd
LOA..m.,4,1,2,3,2.5,1.118033988749895
Beam.Mld..m.,3,2,5,2,3.0,1.224744871391589
speed_mean,9,3,1,1,3.5,3.278719262151
port_frac,2,10,4,5,5.25,2.947456530637899
distance_sum,6,10,3,8,6.75,2.5860201081971503
age,5,10,10,4,7.25,2.7726341266023544
TPC,8,5,11,7,7.75,2.165063509461097
Dwt,10,10,6,10,9.0,1.7320508075688772
ME_W_ref_first,11,4,12,9,9.0,3.082207001484488
missing_frac_sea,1,10,13,12,9.0,4.743416490252569
LBP..m.,12,10,9,6,9.25,2.165063509461097
cal_fc,7,10,7,14,9.5,2.8722813232690143
Draught..m.,13,10,8,11,10.5,1.8027756377319946
Speed..knots.,14,10,14,15,13.25,1.920286436967152
total_jump_distance,15,10,15,13,13.25,2.0463381929681126
