,cb,gb,lasso,linear,rf,ridge,mean,sd
speed_mean,1,2,3,8,1,1,2.6666666666666665,2.494438257849294
LOA..m.,4,8,1,3,6,3,4.166666666666667,2.266911751455907
Beam.Mld..m.,7,6,2,4,12,2,5.5,3.452052529534663
NT,5,1,9,6,8,6,5.833333333333333,2.544056253745625
Main.Bunker.Capacity..m3.,3,3,5,11,11,4,6.166666666666667,3.4840908267278117
cubic_meter,9,7,9,1,7,5,6.333333333333333,2.748737083745107
Depth.Moulded..m.,2,10,9,2,5,11,6.5,3.685557397915997
Dwt,8,5,9,5,3,10,6.666666666666667,2.494438257849294
GT,6,4,9,10,2,9,6.666666666666667,2.9249881291307074
HP.Total.Propulsion,10,9,4,7,4,7,6.833333333333333,2.266911751455907
ME_W_ref_first,11,12,9,9,10,8,9.833333333333334,1.343709624716425
t_over_t_ref_without_m_sum,12,11,9,12,9,13,11.0,1.5275252316519468
LDT,13,13,9,13,13,12,12.166666666666666,1.462494064565354
