,gb,lasso,linear,ridge,mean,sd
Beam.Mld..m.,6,2,4,2,3.5,1.6583123951777
speed_mean,2,3,8,1,3.5,2.692582403567252
LOA..m.,8,1,3,3,3.75,2.5860201081971503
NT,1,9,6,6,5.5,2.8722813232690143
cubic_meter,7,9,1,5,5.5,2.958039891549808
Main.Bunker.Capacity..m3.,3,5,11,4,5.75,3.112474899497183
HP.Total.Propulsion,9,4,7,7,6.75,1.7853571071357126
Dwt,5,9,5,10,7.25,2.277608394786075
GT,4,9,10,9,8.0,2.345207879911715
Depth.Moulded..m.,12,9,2,11,8.5,3.905124837953327
ME_W_ref_first,11,9,9,8,9.25,1.0897247358851685
t_over_t_ref_without_m_sum,10,9,12,13,11.0,1.5811388300841898
LDT,13,9,13,12,11.75,1.6393596310755
