,cb,gb,lasso,linear,rf,ridge,mean,sd
speed_mean,1,3,3,8,1,1,2.8333333333333335,2.4776781245530843
LOA..m.,2,8,2,5,4,4,4.166666666666667,2.034425935955617
NT,3,1,9,3,8,5,4.833333333333333,2.852873794770615
Main.Bunker.Capacity..m3.,4,2,4,10,11,3,5.666666666666667,3.4960294939005054
GT,6,5,9,4,2,9,5.833333333333333,2.5440562537456244
Dwt,7,4,9,1,5,10,6.0,3.0550504633038935
Beam.Mld..m.,9,6,1,9,12,2,6.5,3.947573094109004
cubic_meter,8,7,9,2,7,6,6.5,2.217355782608345
HP.Total.Propulsion,10,11,5,6,3,7,7.0,2.7688746209726918
Depth.Moulded..m.,5,9,9,11,6,11,8.5,2.29128784747792
ME_W_ref_first,11,10,9,7,10,8,9.166666666666666,1.343709624716425
t_over_t_ref_without_m_sum,12,12,9,12,9,12,11.0,1.4142135623730951
LDT,13,13,9,13,13,13,12.333333333333334,1.49071198499986
