,gb,lasso,linear,ridge,mean,sd
speed_mean,3,3,8,1,3.75,2.5860201081971503
Beam.Mld..m.,6,1,9,2,4.5,3.2015621187164243
NT,1,9,3,5,4.5,2.958039891549808
LOA..m.,8,2,5,4,4.75,2.165063509461097
Main.Bunker.Capacity..m3.,2,4,10,3,4.75,3.112474899497183
cubic_meter,7,9,2,6,6.0,2.5495097567963922
Dwt,5,9,1,10,6.25,3.5619517121937516
GT,4,9,4,9,6.5,2.5
HP.Total.Propulsion,11,5,6,7,7.25,2.277608394786075
ME_W_ref_first,9,9,7,8,8.25,0.82915619758885
Depth.Moulded..m.,10,9,11,11,10.25,0.82915619758885
t_over_t_ref_without_m_sum,12,9,12,12,11.25,1.299038105676658
LDT,13,9,13,13,12.0,1.7320508075688772
