,cb,gb,lasso,linear,rf,ridge,mean,sd
speed_mean,15,13,3,11,3,1,7.666666666666667,5.497474167490214
work_sum,13,11,6,10,6,4,8.333333333333334,3.197221015541813
LOA..m.,7,18,1,7,13,6,8.666666666666666,5.436502143433364
Ballast.Cap..cu.m.,4,2,5,24,14,5,9.0,7.702813338860896
age,2,5,20,23,7,3,10.0,8.32666399786453
GT,3,10,20,12,2,15,10.333333333333334,6.342099196813483
Beam.Mld..m.,6,15,2,8,31,2,10.666666666666666,10.094002619817813
port_frac,1,3,20,16,1,26,11.166666666666666,9.956851354162565
v_over_v_ref_with_n_sum,22,12,20,9,5,9,12.833333333333334,6.148622248565572
t_m_times_v_n_sum,19,14,20,14,4,8,13.166666666666666,5.669117117231649
cubic_meter,23,17,20,1,8,11,13.333333333333334,7.498147919467995
distance_sum,10,9,20,2,21,18,13.333333333333334,6.871842709362768
HP.Total.Propulsion,11,21,4,21,11,14,13.666666666666666,5.9907335852038095
Dwt,5,19,20,15,9,17,14.166666666666666,5.42883249163411
NT,14,7,20,18,16,12,14.5,4.232808366400098
TPC,16,16,8,30,10,7,14.5,7.783529619223745
Depth.Moulded..m.,12,22,20,6,12,23,15.833333333333334,6.229410530343586
missing_frac_sea,9,1,20,25,15,29,16.5,9.482439911049617
Main.Bunker.Capacity..m3.,21,4,7,31,24,13,16.666666666666668,9.533566430716728
v_over_v_ref_without_n_sum,20,6,20,4,28,22,16.666666666666668,8.692269873603532
cal_fc,17,8,20,13,19,24,16.833333333333332,5.145116346811044
Draught..m.,8,24,20,20,17,21,18.333333333333332,5.055250296034367
LBP..m.,18,23,20,19,22,10,18.666666666666668,4.2295258468165065
ME_W_ref_first,26,20,20,17,18,16,19.5,3.253203549323856
t_over_t_ref_without_m_sum,24,26,20,5,26,20,20.166666666666668,7.22072634081149
t_over_t_ref_with_m_sum,30,28,20,3,27,19,21.166666666666668,9.081421817216851
W_component_first,25,27,20,22,20,28,23.666666666666668,3.197221015541813
trip_nunique,27,25,20,27,25,31,25.833333333333332,3.287180487219337
Speed..knots.,28,29,20,26,23,30,26.0,3.5118845842842465
LDT,29,30,20,29,29,25,27.0,3.5118845842842465
total_jump_distance,31,31,20,28,30,27,27.833333333333332,3.804237403504442
