,gb,lasso,linear,ridge,mean,sd
speed_mean,11,3,11,1,6.5,4.55521678957215
work_sum,9,6,10,4,7.25,2.384848003542364
Beam.Mld..m.,17,2,8,2,7.25,6.139014578904337
LOA..m.,18,1,7,6,8.0,6.2048368229954285
Ballast.Cap..cu.m.,2,5,24,5,9.0,8.74642784226795
cubic_meter,15,20,1,11,11.75,6.977642868476432
v_over_v_ref_with_n_sum,12,20,9,9,12.5,4.5
distance_sum,10,20,2,18,12.5,7.123903424387503
age,5,20,23,3,12.75,8.842369591913696
v_over_v_ref_without_n_sum,6,20,4,22,13.0,8.06225774829855
Main.Bunker.Capacity..m3.,3,7,31,13,13.5,10.712142642814275
t_m_times_v_n_sum,14,20,14,8,14.0,4.242640687119285
NT,7,20,18,12,14.25,5.11737237261468
HP.Total.Propulsion,19,4,21,14,14.5,6.576473218982953
GT,13,20,12,15,15.0,3.082207001484488
TPC,16,8,30,7,15.25,9.202581159652981
cal_fc,8,20,13,24,16.25,6.179603547154137
port_frac,4,20,16,26,16.5,8.04673846971554
t_over_t_ref_with_m_sum,28,20,3,19,17.5,9.069178573608527
t_over_t_ref_without_m_sum,26,20,5,20,17.75,7.75806032459145
LBP..m.,22,20,19,10,17.75,4.602988159880492
Dwt,20,20,15,17,18.0,2.1213203435596424
ME_W_ref_first,21,20,17,16,18.5,2.0615528128088303
Depth.Moulded..m.,25,20,6,23,18.5,7.433034373659253
missing_frac_sea,1,20,25,29,18.75,10.732543966832841
Draught..m.,23,20,20,21,21.0,1.224744871391589
W_component_first,27,20,22,28,24.25,3.344772040064913
trip_nunique,24,20,27,31,25.5,4.031128874149275
LDT,30,20,29,25,26.0,3.9370039370059056
Speed..knots.,29,20,26,30,26.25,3.897114317029974
total_jump_distance,31,20,28,27,26.5,4.031128874149275
