,cb,gb,lasso,linear,rf,ridge,mean,sd
port_frac,2,3,7,18,1,2,5.5,5.909032633745278
age,1,4,4,19,7,1,6.0,6.164414002968976
Ballast.Cap..cu.m.,6,5,3,17,15,3,8.166666666666666,5.669117117231649
cubic_meter,4,14,20,2,8,11,9.833333333333334,6.066758241067098
LOA..m.,3,17,2,20,13,7,10.333333333333334,6.82316316348624
NT,7,6,20,7,14,10,10.666666666666666,4.955356249106169
speed_mean,16,9,6,26,3,5,10.833333333333334,7.945998294040145
GT,10,8,20,12,2,14,11.0,5.507570547286102
Main.Bunker.Capacity..m3.,9,2,5,21,23,6,11.0,8.06225774829855
Beam.Mld..m.,18,15,1,14,24,4,12.666666666666666,7.909207011803114
Dwt,14,23,20,1,9,16,13.833333333333334,7.243771270700243
HP.Total.Propulsion,15,20,8,16,12,12,13.833333333333334,3.7601713908928254
LBP..m.,5,19,20,15,20,8,14.5,5.9651767227244274
TPC,8,13,20,28,10,9,14.666666666666666,7.156970184527963
missing_frac_sea,11,1,20,23,17,22,15.666666666666666,7.652160188832664
v_over_v_ref_without_n_sum,13,7,20,3,31,21,15.833333333333334,9.3526585643988
distance_sum,17,10,20,6,22,20,15.833333333333334,5.842849380986034
work_sum,23,16,20,9,5,23,16.0,6.879922480183431
Depth.Moulded..m.,19,24,20,10,11,15,16.5,4.9916597106239795
t_m_times_v_n_sum,22,18,20,8,6,29,17.166666666666668,7.966945601811414
Draught..m.,20,21,20,13,16,17,17.833333333333332,2.793842435706702
v_over_v_ref_with_n_sum,21,12,20,29,4,24,18.333333333333332,8.178562764256865
ME_W_ref_first,12,22,20,30,18,13,19.166666666666668,6.011562932290478
cal_fc,24,11,20,11,26,30,20.333333333333332,7.2264944628929335
W_component_first,25,26,20,22,19,18,21.666666666666668,2.98142396999972
t_over_t_ref_with_m_sum,26,25,20,5,25,31,22.0,8.246211251235321
t_over_t_ref_without_m_sum,28,29,20,4,27,28,22.666666666666668,8.863157200205555
Speed..knots.,27,28,20,24,21,27,24.5,3.095695936834452
trip_nunique,29,27,20,31,28,19,25.666666666666668,4.533823502911814
LDT,30,30,20,25,29,26,26.666666666666668,3.5433819375782165
total_jump_distance,31,31,20,27,30,25,27.333333333333332,3.9440531887330774
