,gb,lasso,linear,ridge,mean,sd
Ballast.Cap..cu.m.,2,3,17,3,6.25,6.219927652312364
Beam.Mld..m.,8,1,14,4,6.75,4.866980583482946
age,3,4,19,1,6.75,7.1545440106270926
port_frac,5,7,18,2,8.0,6.041522986797286
Main.Bunker.Capacity..m3.,4,5,21,6,9.0,6.96419413859206
NT,6,20,7,10,10.75,5.539629951540085
cubic_meter,11,20,2,11,11.0,6.363961030678928
LOA..m.,16,2,20,7,11.25,7.119515432949071
speed_mean,10,6,26,5,11.75,8.437268515343103
v_over_v_ref_without_n_sum,7,20,3,21,12.75,7.8859051477937525
GT,9,20,12,14,13.75,4.02336923485777
HP.Total.Propulsion,19,8,16,12,13.75,4.14578098794425
Dwt,20,20,1,16,14.25,7.8222439235810075
distance_sum,12,20,6,20,14.5,5.894913061275798
LBP..m.,21,20,15,8,16.0,5.1478150704935
missing_frac_sea,1,20,23,22,16.5,9.013878188659973
work_sum,15,20,9,23,16.75,5.3091901453988255
Depth.Moulded..m.,24,20,10,15,17.25,5.261891294962297
Draught..m.,22,20,13,17,18.0,3.391164991562634
TPC,17,20,28,9,18.5,6.800735254367722
cal_fc,14,20,11,30,18.75,7.258615570478987
t_m_times_v_n_sum,18,20,8,29,18.75,7.46240577829965
t_over_t_ref_without_m_sum,29,20,4,28,20.25,10.0093706095838
t_over_t_ref_with_m_sum,26,20,5,31,20.5,9.759610647971568
W_component_first,25,20,22,18,21.25,2.5860201081971503
ME_W_ref_first,23,20,30,13,21.5,6.103277807866851
v_over_v_ref_with_n_sum,13,20,29,24,21.5,5.852349955359813
trip_nunique,27,20,31,19,24.25,4.968651728587948
Speed..knots.,28,20,24,27,24.75,3.112474899497183
LDT,30,20,25,26,25.25,3.5619517121937516
total_jump_distance,31,20,27,25,25.75,3.960744879438715
