,cb,gb,lasso,linear,rf,ridge,mean,sd
v_over_v_ref_with_n_sum,1,1,8,3,1,3,2.8333333333333335,2.4776781245530843
ME_W_ref_first,2,2,2,6,5,6,3.8333333333333335,1.8633899812498247
t_m_times_v_n_sum,6,3,1,5,4,5,4.0,1.632993161855452
distance_sum,13,9,5,2,8,2,6.5,3.947573094109004
v_over_v_ref_without_n_sum,12,13,4,1,13,1,7.333333333333333,5.436502143433364
W_component_first,3,4,6,16,3,15,7.833333333333333,5.520165053893065
t_over_t_ref_with_m_sum,11,8,7,11,2,10,8.166666666666666,3.131382371342656
work_sum,5,6,20,4,14,4,8.833333333333334,6.066758241067098
Service.Speed..knots.,9,10,9,7,7,17,9.833333333333334,3.387066905483596
HP.Total.Propulsion,4,5,20,13,9,12,10.5,5.377421934967226
NT,16,14,3,8,17,7,10.833333333333334,5.145116346811045
age,7,7,11,18,11,18,12.0,4.546060565661952
missing_frac_sea,10,12,10,17,10,16,12.5,2.9297326385411577
Operational.Speed..knots.,8,11,12,21,6,22,13.333333333333334,6.101001739241042
t_over_t_ref_without_m_sum,14,15,20,12,12,11,14.0,3.0
LOA..m.,19,20,20,10,22,9,16.666666666666668,5.153208277913436
LBP..m.,20,21,20,9,23,8,16.833333333333332,5.983774357005413
Draught..m.,18,16,20,14,20,13,16.833333333333332,2.733536577809454
Ballast.Cap..cu.m.,17,17,13,20,16,19,17.0,2.23606797749979
trip_nunique,15,19,15,19,15,20,17.166666666666668,2.1921577396609844
West.Coast.Africa.Deployment..Time.in.Last.12.Months....,22,22,14,22,18,21,19.833333333333332,2.9674156357941426
Size.Category,24,24,20,15,24,14,20.166666666666668,4.258977446393546
Speed..knots.,21,23,20,23,19,23,21.5,1.6072751268321592
Bale.Capacity..cu.m.,23,18,20,24,21,24,21.666666666666668,2.211083193570267
