,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_with_n_sum,1,7,3,3,3.5,2.179449471770337
t_m_times_v_n_sum,3,1,5,5,3.5,1.6583123951777
ME_W_ref_first,2,2,6,6,4.0,2.0
distance_sum,7,8,2,2,4.75,2.7726341266023544
v_over_v_ref_without_n_sum,14,4,1,1,5.0,5.338539126015656
NT,10,3,8,7,7.0,2.5495097567963922
t_over_t_ref_with_m_sum,6,6,11,10,8.25,2.277608394786075
work_sum,8,20,4,4,9.0,6.557438524302
W_component_first,4,5,16,15,10.0,5.522680508593631
Service.Speed..knots.,12,9,7,17,11.25,3.766629793329841
HP.Total.Propulsion,5,20,13,12,12.5,5.315072906367325
age,9,11,18,18,14.0,4.06201920231798
missing_frac_sea,13,10,17,16,14.0,2.7386127875258306
LBP..m.,21,20,9,8,14.5,6.020797289396148
t_over_t_ref_without_m_sum,16,20,12,11,14.75,3.5619517121937516
LOA..m.,20,20,10,9,14.75,5.261891294962297
Draught..m.,15,20,14,13,15.5,2.692582403567252
Operational.Speed..knots.,11,12,21,22,16.5,5.024937810560445
Ballast.Cap..cu.m.,18,13,20,19,17.5,2.692582403567252
trip_nunique,19,15,19,20,18.25,1.920286436967152
Size.Category,24,20,15,14,18.25,4.02336923485777
West.Coast.Africa.Deployment..Time.in.Last.12.Months....,23,14,22,21,20.0,3.5355339059327378
Bale.Capacity..cu.m.,17,20,24,24,21.25,2.947456530637899
Speed..knots.,22,20,23,23,22.0,1.224744871391589
