,gb,lasso,linear,ridge,mean,sd
t_m_times_v_n_sum,3,1,5,5,3.5,1.6583123951777
v_over_v_ref_without_n_sum,10,5,1,1,4.25,3.6996621467371855
v_over_v_ref_with_n_sum,1,11,3,3,4.5,3.840572873934304
ME_W_ref_first,2,2,7,7,4.5,2.5
t_over_t_ref_with_m_sum,6,4,6,6,5.5,0.8660254037844386
distance_sum,8,19,2,2,7.75,6.94172168845741
work_sum,7,19,4,4,8.5,6.18465843842649
NT,15,3,9,9,9.0,4.242640687119285
W_component_first,5,6,16,15,10.5,5.024937810560445
HP.Total.Propulsion,4,19,13,12,12.0,5.338539126015656
Service.Speed..knots.,14,7,12,16,12.25,3.344772040064913
t_over_t_ref_without_m_sum,17,19,8,8,13.0,5.049752469181039
port_frac,11,8,18,17,13.5,4.153311931459037
age,9,10,20,20,14.75,5.261891294962297
missing_frac_sea,13,9,19,19,15.0,4.242640687119285
LOA..m.,20,19,11,11,15.25,4.264680527307995
LBP..m.,23,19,10,10,15.5,5.678908345800274
Draught..m.,19,19,14,13,16.25,2.7726341266023544
Operational.Speed..knots.,12,12,22,21,16.75,4.763139720814412
Dwt,16,19,17,18,17.5,1.118033988749895
Size.Category,24,19,15,14,18.0,3.9370039370059056
trip_nunique,21,13,21,22,19.25,3.6314597615834874
longest_jump,18,14,24,24,20.0,4.242640687119285
Speed..knots.,22,19,23,23,21.75,1.6393596310755
