,cb,gb,lasso,linear,rf,ridge,mean,sd
t_m_times_v_n_sum,2,3,1,2,1,1,1.6666666666666667,0.7453559924999298
HP.Total.Propulsion,1,1,2,6,3,4,2.8333333333333335,1.7716909687891083
distance_sum,4,6,3,1,6,2,3.6666666666666665,1.8856180831641267
W_component_first,3,2,4,8,2,6,4.166666666666667,2.1921577396609844
work_sum,5,4,17,7,4,5,7.0,4.58257569495584
NT,15,13,5,3,16,3,9.166666666666666,5.610010893235612
t_over_t_ref_without_m_sum,7,5,6,17,5,17,9.5,5.346338310781813
missing_frac_sea,8,8,7,14,7,14,9.666666666666666,3.091206165165235
age,9,7,8,16,8,16,10.666666666666666,3.815174380753199
v_over_v_ref_without_n_sum,13,9,17,10,10,9,11.333333333333334,2.8674417556808756
port_frac,6,10,9,18,9,19,11.833333333333334,4.879093722768149
trip_nunique,12,14,10,15,14,15,13.333333333333334,1.7950549357115015
LOA..m.,16,20,17,4,18,7,13.666666666666666,5.962847939999438
Dwt,17,15,17,9,15,10,13.833333333333334,3.1841621957571333
LBP..m.,19,18,17,5,19,8,14.333333333333334,5.647024782032472
Speed..knots.,11,11,17,19,11,18,14.5,3.547299442298794
longest_jump,10,12,12,21,12,21,14.666666666666666,4.533823502911814
Draught..m.,18,17,17,11,17,11,15.166666666666666,2.9674156357941426
Beam.Mld..m.,20,19,11,13,20,13,16.0,3.7416573867739413
TPC,14,16,17,20,13,20,16.666666666666668,2.6874192494328497
Size.Category,21,21,17,12,21,12,17.333333333333332,4.0276819911981905
