,gb,lasso,linear,ridge,mean,sd
v_over_v_ref_without_n_sum,2,1,1,1,1.25,0.4330127018922193
distance_sum,1,2,3,3,2.25,0.82915619758885
t_m_times_v_n_sum,3,3,2,2,2.5,0.5
LOA..m.,7,4,4,4,4.75,1.299038105676658
Draught..m.,6,8,8,5,6.75,1.299038105676658
t_over_t_ref_without_m_sum,4,5,13,7,7.25,3.491060010942235
work_sum,5,18,5,6,8.5,5.5
HP.Total.Propulsion,9,6,12,10,9.25,2.165063509461097
NT,12,12,10,8,10.5,1.6583123951777
Beam.Mld..m.,17,7,11,9,11.0,3.7416573867739413
W_component_first,16,9,9,13,11.75,2.947456530637899
Dwt,11,18,7,12,12.0,3.9370039370059056
LBP..m.,14,18,6,11,12.25,4.380353866983808
age,10,10,15,15,12.5,2.5
trip_nunique,13,13,16,16,14.5,1.5
missing_frac_sea,15,11,17,17,15.0,2.449489742783178
port_frac,8,15,19,18,15.0,4.301162633521313
Size.Category,21,18,14,14,16.75,2.947456530637899
TPC,20,14,18,19,17.75,2.277608394786075
Speed..knots.,19,18,20,20,19.25,0.82915619758885
longest_jump,18,18,21,21,19.5,1.5
