,cb,gb,lasso,linear,rf,ridge,mean,sd
v_over_v_ref_with_n_sum,2,1,5,3,1,3,2.5,1.3844373104863459
t_m_times_v_n_sum,1,4,1,5,3,5,3.1666666666666665,1.6749792701868151
ME_W_ref_first,3,2,3,6,5,6,4.166666666666667,1.5723301886761005
v_over_v_ref_without_n_sum,8,14,2,1,11,1,6.166666666666667,5.145116346811045
distance_sum,4,9,19,2,6,2,7.0,5.887840577551898
t_over_t_ref_with_m_sum,10,6,7,11,2,10,7.666666666666667,3.0912061651652345
W_component_first,5,3,6,16,4,15,8.166666666666666,5.273097339852125
work_sum,6,7,19,4,14,4,9.0,5.597618541248888
NT,18,10,4,8,17,7,10.666666666666666,5.153208277913436
Service.Speed..knots.,14,12,8,7,8,17,11.0,3.6514837167011076
HP.Total.Propulsion,7,5,19,13,10,12,11.0,4.509249752822894
missing_frac_sea,9,13,9,17,9,16,12.166666666666666,3.387066905483596
age,11,8,10,18,12,18,12.833333333333334,3.8477987935383986
Operational.Speed..knots.,12,11,11,21,7,22,14.0,5.5377492419453835
t_over_t_ref_without_m_sum,15,15,19,12,13,11,14.166666666666666,2.608745973749755
Draught..m.,17,16,19,14,19,13,16.333333333333332,2.2852182001336816
trip_nunique,13,19,14,19,15,20,16.666666666666668,2.748737083745107
LOA..m.,20,20,19,10,22,9,16.666666666666668,5.153208277913436
LBP..m.,22,21,19,9,23,8,17.0,6.137317546507322
Ballast.Cap..cu.m.,19,18,12,20,16,19,17.333333333333332,2.6874192494328497
West.Coast.Africa.Deployment..Time.in.Last.12.Months....,16,23,13,22,18,21,18.833333333333332,3.531603350069515
Size.Category,24,24,19,15,24,14,20.0,4.281744192888376
Bale.Capacity..cu.m.,23,17,19,24,21,24,21.333333333333332,2.6246692913372707
Speed..knots.,21,22,19,23,20,23,21.333333333333332,1.4907119849998596
