,gb,lasso,linear,ridge,mean,sd
distance_sum,1,1,2,2,1.5,0.5
GT,10,2,4,4,5.0,3.0
t_over_t_ref_without_m_sum,6,3,6,5,5.0,1.224744871391589
v_over_v_ref_without_n_sum,3,19,1,1,6.0,7.54983443527075
ME_W_ref_first,7,6,11,11,8.75,2.277608394786075
age,11,5,10,10,9.0,2.345207879911715
Draught..m.,15,7,8,8,9.5,3.2015621187164243
v_over_v_ref_with_n_sum,9,19,7,7,10.5,4.9749371855331
LBP..m.,19,19,3,3,11.0,8.0
LOA..m.,14,19,5,6,11.0,5.787918451395113
t_m_times_v_n_sum,2,4,20,19,11.25,8.287792227125388
Dwt,16,19,9,9,13.25,4.380353866983808
missing_frac_sea,17,9,14,14,13.5,2.8722813232690143
NT,13,19,12,12,14.0,2.9154759474226504
trip_nunique,12,19,16,15,15.5,2.5
W_component_first,8,19,18,18,15.75,4.493050188902857
total_jump_distance,26,11,13,13,15.75,5.973901572674261
t_over_t_ref_with_m_sum,4,19,21,21,16.25,7.119515432949071
Main.Bunker.Capacity..m3.,18,10,19,20,16.75,3.960744879438715
port_frac,20,19,15,16,17.5,2.0615528128088303
Beam.Mld..m.,21,8,23,23,18.75,6.2599920127744575
Size.Category,23,19,17,17,19.0,2.449489742783178
cal_fc,5,19,26,26,19.0,8.573214099741124
TPC,22,19,22,22,21.25,1.299038105676658
LDT,25,19,24,24,23.0,2.345207879911715
Speed..knots.,24,19,25,25,23.25,2.48746859276655
