DATAFLOW,LAST UPDATE,freq,tonnage,vessel,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE,2020-Q1,1306,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE,2020-Q2,1338,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE,2020-Q3,1394,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE,2020-Q4,1316,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEANR,2020-Q1,1145,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEANR,2020-Q2,1185,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEANR,2020-Q3,1218,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEANR,2020-Q4,1151,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEGNE,2020-Q1,31,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEGNE,2020-Q2,25,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEGNE,2020-Q3,27,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEGNE,2020-Q4,29,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEZEE,2020-Q1,130,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEZEE,2020-Q2,128,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEZEE,2020-Q3,149,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BE_0BEZEE,2020-Q4,136,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG,2020-Q1,88,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG,2020-Q2,92,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG,2020-Q3,91,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG,2020-Q4,90,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGBOJ,2020-Q1,53,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGBOJ,2020-Q2,51,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGBOJ,2020-Q3,52,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGBOJ,2020-Q4,52,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGVAR,2020-Q1,35,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGVAR,2020-Q2,41,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGVAR,2020-Q3,39,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,BG_0BGVAR,2020-Q4,38,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY,2020-Q1,157,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY,2020-Q2,163,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY,2020-Q3,166,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY,2020-Q4,164,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY_0CYLMS,2020-Q1,157,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY_0CYLMS,2020-Q2,163,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY_0CYLMS,2020-Q3,166,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,CY_0CYLMS,2020-Q4,164,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE,2020-Q1,1691,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE,2020-Q2,1667,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE,2020-Q3,1716,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE,2020-Q4,1648,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE_1,2020-Q1,1653,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE_1,2020-Q2,1614,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE_1,2020-Q3,1654,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE_1,2020-Q4,1589,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE_1DEBKE,2020-Q1,1,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,ODC_CNT,NR,DE_1DEBKE,2020-Q2,1,
