DATAFLOW,LAST UPDATE,freq,tonnage,vessel,unit,rep_mar,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE,2020-Q1,1695,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE,2020-Q2,1661,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE,2020-Q3,1710,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE,2020-Q4,1730,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEANR,2020-Q1,1271,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEANR,2020-Q2,1334,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEANR,2020-Q3,1386,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEANR,2020-Q4,1346,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEGNE,2020-Q1,151,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEGNE,2020-Q2,163,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEGNE,2020-Q3,154,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEGNE,2020-Q4,154,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEOST,2020-Q1,4,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEOST,2020-Q2,1,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEOST,2020-Q3,5,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEOST,2020-Q4,13,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEZEE,2020-Q1,269,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEZEE,2020-Q2,163,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEZEE,2020-Q3,165,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BE_0BEZEE,2020-Q4,217,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BG,2020-Q1,157,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BG,2020-Q2,151,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BG,2020-Q3,178,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BG,2020-Q4,165,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BG_0BGBOJ,2020-Q1,125,
ESTAT:MAR_TF_QM$DEFAULTVIEW(1.0),25/05/22 23:00:00,Q,TOTAL,LBK,NR,BG_0BGBOJ,2020-Q2,117,
