mmsi,year,distance
205041000,2020,5975.49840015173
205041000,2021,68304.78518855572
205125000,2021,19182.030253008008
205554000,2019,65644.01619387418
205554000,2020,66775.49428075552
205554000,2021,63385.83140698075
205569000,2019,60180.68589414656
205569000,2020,60663.86639648676
205569000,2021,71977.13252997398
205580000,2019,61903.11409948766
205580000,2020,55657.58070319146
205580000,2021,70385.87001166493
205602000,2019,64430.29278888181
205602000,2020,36955.193889304996
205602000,2021,54440.10595372319
205680000,2019,49044.64324428886
205680000,2020,45236.60035793483
205680000,2021,44830.34202089161
205699000,2019,75515.69998501241
205699000,2020,69691.02807560563
205699000,2021,77971.49995267391
205700000,2019,59337.296714536846
205700000,2020,66988.58977076411
205700000,2021,52732.091159425676
205717000,2019,61686.047606140375
205717000,2020,59177.92791377008
205717000,2021,47324.30345565081
205728000,2019,55285.27750509232
205728000,2020,53030.72534751892
205728000,2021,43775.072410553694
205749000,2019,56745.28597135097
205749000,2020,55097.66324412823
205749000,2021,60018.80514666438
205776000,2019,21403.692452710122
205776000,2020,56289.91590318084
205776000,2021,62283.52848637849
205778000,2019,4654.865008115768
205778000,2020,62082.89345994592
205778000,2021,53700.1253493242
205783000,2019,7228.540507555008
205783000,2020,68739.41419006884
205783000,2021,67718.72036503255
205789000,2019,9921.0933855623
205789000,2020,58899.91377854347
205789000,2021,58779.67269191146
205790000,2019,14407.652572024614
205790000,2020,49589.06514033675
205790000,2021,56841.20096997172
207124000,2019,36971.68270022422
207124000,2020,37305.97439587116
207124000,2021,37788.2013450712
207137000,2019,24471.438939273357
207137000,2020,27172.44199281931
207137000,2021,41448.737266898155
207138000,2019,40315.80436903238
207138000,2020,49000.51536808163
207138000,2021,46938.06814850494
209004000,2019,67380.01981502771
209004000,2020,78180.82457767427
209004000,2021,80662.4101492539
209008000,2019,43860.38493723422
209008000,2020,47179.02311310172
209008000,2021,57087.90777644515
209012000,2019,62807.38412673026
209012000,2020,62341.59599587321
209012000,2021,67354.32933700085
209015000,2019,49718.27806099504
209015000,2020,52173.865875154734
209015000,2021,58043.37812895328
209016000,2019,56169.318219382316
209016000,2020,44937.47136050463
209016000,2021,55467.84254039079
209017000,2019,49447.97968824208
209017000,2020,32629.638567090034
209017000,2021,39356.150742441416
209026000,2019,56427.489910557866
209026000,2020,63112.401754416525
209026000,2021,62091.68199245632
209034000,2019,68739.32328725979
