"Listing"

"WFR Listing"
"Created 16 February 2022 04:59"


"CVN","Age Scrapped","Fleet Type","Bale Capacity (cu m)","Sister Vessel Code","Owner Size","Post Panamax (Ind)","Post Panamax Old Locks (Ind)","SOx Scrubber 1 Retrofit Indicator","Demo Buyer","Stock Exchange","Panama NT","Suez NT","P and I Club
","Air Draft From Keel","Last Hull Survey Date","EST Number (Energy Saving Technologies)","EST Detail (Energy Saving Technologies)","Hull Survey Due Date","Consumption (tpd)","Deballast Cap (cu m/h)","CGT","LBP (m)","Gear (Ind)","Log fitted (Ind)","ConBulk","Pool Operator","Manager","Manager Country/Region","Operator Group","Operator Nationality/Region","Eco-Speed - Ballast (knots)","Eco-Speed - Laden (knots)","Main Consumption at Laden Speed (tpd)","Main Consumption at Ballast Speed (tpd)","Main Consumption at Eco-Speed Ballast (tpd)","Main Consumption at Eco-Speed Laden (tpd)","Australia Fitted Ind","Builder Country/Region","Operator Country/Region"
12284353,37.92,"Bulkers",46516,,"Very Small (1-5) ",,,,"Venezuela",,18374,19353,,,"21-Mar-2003",,,"21-Mar-2008",28,,12946.53,178,"Y","N",,,"Seaquest","Croatia",,,,,,,,,,"Japan"
11988089,50.42,"Bulkers",,,"Very Small (1-5) ",,,,"Turkey",,,,,,"01-Mar-2011",,,"01-Mar-2016",40.8,,9786.05,152.5,"N",,,,"Sekur Holdings","Greece",,,,,,,,,,"Japan"
12355967,34.42,"Bulkers",,75831,"Large (21-50)",,"N",,"Turkey",,18866,20119,,45.5,"19-Oct-2014",,,"19-Oct-2019",29.5,1023,14085.50,178,"Y",,"Y",,"Grieg Star","Norway","Grieg Star","Norway",,,,,,,,"South Korea","Norway"
12477281,25.33,"Bulkers",,,"Small (6-10) ",,,,"Turkey",,,,,48,"20-Jan-2014",,,"20-Jan-2019",29,980,16977.28,194,"N",,,,"CSL Australia","Australia",,,,,29,29,,,,"South Korea"
12408793,34.75,"Bulkers",,70343,"Medium (11-20)",,,,"Turkey","Toronto",18715,19345,,42,"09-Aug-2010",,,"09-Aug-2015",32,,13370.73,216.52,"Y","N",,,"Algoma Central Corp","Canada",,,,,,,,,,"Croatia"
12623927,23.5,"Bulkers",30101,76709,,,"N",,"Turkey",,,,"The London P&I Club",,"07-Jun-2018",,,"07-Jun-2023",20.2,,9975.71,146,"Y","N",,,,,,,,,,,,,,"Japan"
12308839,34.83,"Bulkers",40145,,"Large (21-50)",,,,"Turkey",,,,,,"15-Feb-2015",,,"15-Feb-2020",35,,13251.22,170,"N",,,,"CSL Australia","Australia",,,,,,,,,,"Japan"
12404795,35,"Bulkers",47335,,"Large (21-50)",,,,"Turkey",,21277,23385,"Gard P&I",,"25-Jan-2016",,,"25-Jan-2021",27.8,,14703.04,188.5,"Y","N","Y",,"Grieg Star","Norway","Grieg Star","Norway",,,,,,,,"Japan","Norway"
12404829,32.75,"Bulkers",47335,,"Large (21-50)",,"N",,"Turkey",,21277,23385,,,"11-Aug-2016",,,"11-Aug-2021",27.8,,14703.04,188.5,"Y",,"Y",,"Grieg Star","Norway","Grieg Star","Norway",,,,,,,,"Japan","Norway"
12151017,43.5,"Bulkers",38818,,"Small (6-10) ",,,,"Turkey",,16790,,,,"03-Apr-2018",,,"03-Apr-2023",36,,12304.07,170.01,"Y","N",,,"Transship Co. Ltd.","Ukraine",,,,,,,,,,"Japan"
12401299,27.67,"Bulkers",,,"Very Small (1-5) ",,,,"Turkey",,13809,15107,,,,,,,24,,11220.56,171.8,"N",,,,"Gamma Shipping","Turkey",,,,,,,,,,"Turkey"
12261817,38.92,"Bulkers",17338,,"Very Small (1-5) ",,,,"Turkey",,,7505,"Shipowners P&I",,"03-Apr-2017",,,"03-Apr-2022",11,,7080.81,129.8,"Y",,,,"Megatrans Deniz","Turkey",,,,,,,,,,"Japan"
12488753,25.33,"Bulkers",21043,,,,"N",,"Turkey",,,,,,"24-Apr-2016",,,"24-Apr-2021",22.1,,8717.45,139.35,"Y","N",,,"Anmax Trading","Singapore",,,,,,,,,,"Poland"
12203767,39.92,"Bulkers",22422,,,,,,"Turkey",,,,,,"20-Jun-2014",,,"20-Jun-2019",,,9867.13,154.87,"N",,"Y",,"Compass Energy Pte","Singapore",,,,,,,,,,"Germany"
58008450,38.17,"Bulkers",,75654,"Very Small (1-5) ",,"N",,"Turkey",,6098,7391,"Britannia P&I",31.8,"25-Mar-2016",,,"25-Mar-2021",12.5,,6394.11,110,"N","N",,,"V. Ships (UK) Ltd","United Kingdom",,,,,,,,,,"Norway"
11317425,29.67,"Bulkers",,,,"Y","Y",,"Private terms",,,134912,,65.18,"24-Aug-2017",1,"1 x Exhaust Gas Economiser - Saacke","24-Aug-2022",67.7,,39583.92,308,"N",,,,"Machtrans","India",,,,,,,,,,"China P.R."
11344647,28.17,"Bulkers",,,,"Y","Y","Y","Private terms",,,152769,,62.6,"29-Mar-2019",,,"29-Mar-2024",93,,42247.22,315,"N",,,,,,,,,,,,,,,"China P.R."
12663873,18.58,"Bulkers",188654,78772,,,"Y",,"Private terms",,,83194,,,"10-Oct-2015",,,"10-Oct-2020",62,5490,29650.71,277,"N",,,,,,,,13.6,12.5,62,62,49,49,"Y","Japan"
12715815,17.83,"Bulkers",,70006,"Very Small (1-5) ",,"Y",,"Private terms",,,,,58.2,"05-Feb-2016",,,"05-Feb-2021",40,5490,29964.55,279,"N",,,,"Orion Reederei","Germany",,,12.75,12.25,,,39,40,"Y","Japan"
12524273,23.25,"Bulkers",154914,77000,"Large (21-50)",,"Y",,"Private terms",,,73183,,57.32,"26-Dec-2015",,,"26-Dec-2020",49,,27799.26,260,"N",,,,"Technomar Shipping","Greece",,,,,,,,,,"Japan"
12581821,23.17,"Bulkers",35452,70046,"Medium (11-20)",,"N",,"Private terms",,16164,17529,,44.1,"05-Jul-2017",,,"05-Jul-2022",20,980,11948.91,172,"Y","N","Y",,"Hay Ships Management","Turkey",,,,,20,19,,,,"China P.R."
12643091,20,"Bulkers",177354,70030,,,"Y",,"Private terms",,,85492,,54.96,"03-Jan-2014",,,"03-Jan-2019",60,2450,29804.64,278,"N",,,,,,,,,,60,60,,,"Y","South Korea"
12654013,19.83,"Bulkers",177499,75876,,,"Y",,"Private terms",,,83687,,56.41,"07-May-2014",,,"07-May-2019",64,,29998.02,279,"N",,,,,,,,,,64,64,,,"Y","South Korea"
12099713,43.08,"Bulkers",31968,,,,,,"Private terms",,,,,,"06-Dec-2015",,,"06-Dec-2020",,980,11976.00,163.38,"Y",,,,"Gearbulk Norway","Norway",,,,,,,,,,"United Kingdom"
12356177,35.08,"Bulkers",17615,75827,"Large (21-50)",,"N",,"Private terms",,20730,23590,,48.6,"19-May-2018",,,"19-May-2023",20.6,1023,14998.00,179.49,"Y",,"Y",,"Gearbulk Norway","Norway","Gearbulk","Norway",,,,,,,,"South Korea","Norway"
12538791,24.83,"Bulkers",161236,,,,"Y",,"Private terms",,,,"West of England P&I",,"19-Oct-2021",,,"12-May-2022",,,27360.01,259,"N",,,,"Arka Global Marine","U.A.E.",,,,,,,,,,"South Korea"
12002021,36.17,"Bulkers",22399,,,,,,"PRC",,,,,,,,,,,,8435.79,146,"Y",,,,"Wenzhou Shipping","China P.R.",,,,,,,,,,"Japan"
12160327,14.75,"Bulkers",,,"Medium (11-20)",,"Y",,"PRC",,,60192,,,,,,,73.9,4195,25630.64,247,"N",,,,"Unique Shpg (H.K.)","Hong Kong",,,,,,,,,,"Japan"
12108279,32.58,"Bulkers",31082,,,,,,"PRC",,,,,,,,,,36,,10666.41,168,"Y",,,,"Indosuccess Ltd.","Singapore",,,,,,,,,,"Japan"
12284803,29.42,"Bulkers",,,,,,,"PRC",,23779,28667,,,"13-Aug-2008",,,"13-Aug-2013",36,779,15683.67,183.4,"Y",,,,"Ocean Sentinels","Singapore",,,,,,,,,,"Japan"
12762819,26.67,"Bulkers",,,,,"Y",,"Philippines",,,,,,,,,,65,,20994.00,237,,,,,"Seacoral Maritime","Greece",,,,,,,,,,"Japan"
16010178,37.83,"Bulkers",13423,,"Very Small (1-5) ",,,,"Pakistan",,,,,,"20-Oct-2006",,,"20-Oct-2011",12,,6248.12,112.04,"Y","Y",,,"IMS Greece","Greece",,,,,,,,,,"Japan"
12298871,38.5,"Bulkers",27021,,,,,,"Pakistan",,,,,,"05-May-2014",,,"05-May-2019",25,,9318.01,142,"Y","N",,,"Tempus Maritime","Lebanon",,,,,,,,,,"Japan"
