"Listing"

"WFR Listing"
"Created 16 February 2022 05:30"


"CVN","Stock Exchange Ticker","Speed (knots)","Speed category","Great Lakes Fitted","Contract Date Ind","Self Unloader (Ind)","Builder Yard Location","Air Draft From Water Line (m)","Demo Location","Manager Group","Grabs Ind","Vessel Name Date","Ice Class (Ind)","Ice Notation","Self Unloader Type","Original Builder","Original Builder Group","FEU Max In Holds","FEU Max On Deck","Deck Strength (sq m t)","Deck Cargo (Ind)","SOx Scrubber Indicator","BWMS Status","Deck Timber Loading (Ind)","Pool Operator Country/Region","BWMS 1 Retrofit Date","BWMS Technology Type","Grabs No","Deck Cargo Height (m)","Auxiliary Engine Detail","BWMS 2 Retrofit Date","Propulsor Detail","Maximum Speed (knots)","Self Unloader Cap (t hr)","Total Cargo Decks No","Hatch Max Length (m)","Hatch Max Width (m)","Heavy Lift (Ind)","Hull Type"
12542343,,14.5,"Service","N",,,"Geoje",,,"Seacon Ships","N","01-Jul-2021","N",,,"Samsung HI","Samsung HI",,,,,,"Pending",,,"12-Jun-2022","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,,,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,1,16.6,14.09,"N","S/Skin"
11374499,,14.6,"Service",,,,"Unknown",44.06,"Bangladesh","Polaris Shipping",,"01-Nov-2020","N",,,"Hyundai HI (Ulsan)","Hyundai HI Group",,,,,,,,,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",16,,,20.52,15.4,,"S/Skin"
11237769,,14.5,"Laden","N",,"Y","Fukuyama",,,"V. Group","N","01-Jan-2006","N",,,"Tsuneishi Zosen","Tsuneishi Holdings",,,,,,"Fitted",,,"27-May-2021","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 3,150ekW total, (3,937.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 123rpm",,,,,,"N","S/Skin"
11211435,,14.5,"Laden",,,"Y","Qinghuangdao",,,"V. Group","N","01-Jan-2015","N",,"Conveyor","Sumitomo (Yokosuka)","Sumitomo HI",,,,,,"Fitted",,,"17-Jul-2021","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 2,700ekW total, (3,375kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 98rpm",,6000,,,,"N","S/Skin"
14988433,,14.2,"Service","N",,"N","Imari",,,"Peace Voyage","N","01-Aug-2019","N",,,"Namura Shipbuilding","Namura Zosensho",,,,"N",,,"N",,,,,,,,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,1,16.8,14.85,"N","S/Skin"
14988567,,14.9,"Service","N",,"N","Imari",,,"Sea Gate Navigation","N","01-Oct-2019","N",,,"Namura Shipbuilding","Namura Zosensho",,,,"N",,"Pending","N",,"28-May-2022","FILTRATION - ULTRAVIOLET",,,,,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",16.16,,1,16.8,14.85,"N","S/Skin"
15352523,"DSX",14,"Service","N",,,"Shanghai",,,"Diana Wilhelmsen",,,"N",,,"Jiangnan Shipyard","Jiangnan Shipyard",,,,,,"Pending",,,"01-Jun-2022","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6N18AL-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke  at 900rpm driving 3 x Taiyo FE 547A-8 - ac generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), Dalian Marine, 105rpm, Ø6.76m",,,,15.48,15,,"S/Skin"
15352657,,15.5,"Service","N",,,"Shanghai",,,"Wooyang Shipping",,"01-Aug-2015","N",,,"Jiangnan Shipyard","Jiangnan Shipyard",,,,,,"Fitted",,,"01-Sep-2016","FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Yanmar 6N18AL-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke  at 900rpm driving 3 x ac generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 105rpm, Ø6.76m",16.37,,,15.48,15,,"S/Skin"
15718057,"2605",15,"Service","N",,"N","Shanghai",,,"Oak Maritime Group","N","01-Dec-2006","N",,,"Shanghai Waigaoqiao","CSSC",,,,"N",,"Fitted","N",,"15-Oct-2021","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Yanmar 6N21L-EV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 2,400mkW total at 720rpm driving 3 x AC generator(s) at 2,400ekW total, (3,000kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,1,15.47,20,"N","S/Skin"
15718181,"GNK",14,"Service","N",,"N","Shanghai",,,"GS Shpmngt","N","01-Oct-2007","N",,,"Shanghai Waigaoqiao","CSSC",,,,"N","Y",,,,,,,,"3 x Aux. Diesel Gen. - 4-stroke 2,700mkW total driving 3 x Taiyo AC generator(s) at 2,700ekW total, (3,375kVA total)",,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 91rpm",,,1,15.47,20,"N","S/Skin"
