"Listing"

"WFR Listing"
"Created 15 February 2022 21:19"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Builder"
16138599,9522972,"Ore China",477510400,"Vale China","Hong Kong","Hong Kong Ming Wah","VLOC Holding","ICBC","01-Nov-2011","08-Sep-2010","31-Jul-2008",,,,400606,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3500 at 3500cu.m/hr - 2021 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (37.0 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
16138607,9532513,"Ore Dongjiakou",477510300,"Vale Dongjiakou","Hong Kong","Hong Kong Ming Wah","VLOC Holding","ICBC","01-Apr-2012","10-Dec-2010","31-Jul-2008",,,,400606,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3500 at 3500cu.m/hr - 2022 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (28.3 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
16138610,9532525,"Pacific Warrior",477178500,"Ore Dalian","Hong Kong","Hong Kong Ming Wah","China VLOC","China Merchants","01-May-2012","10-Dec-2010","31-Jul-2008",,,,400398,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3500 at 3500cu.m/hr - 2022 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (26.9 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
16138623,9532537,"Ore Hebei",477510200,"Vale Hebei","Hong Kong","Hong Kong Ming Wah","VLOC Holding","ICBC","01-Sep-2012","10-Dec-2010","31-Jul-2008",,,,400535,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3500 at 3500cu.m/hr - 2022 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (28.9 %)",20,359.90,,,,"China P.R.","Jiangsu Rongsheng"
16138636,9532549,"Ore Shandong",477510500,"Vale Shandong","Hong Kong","Hong Kong Ming Wah","VLOC Holding","ICBC","01-Dec-2012","02-Aug-2011","31-Jul-2008",,,,400000,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year, 2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3500 at 3500cu.m/hr - 2022 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (31.9 %)",20,359.92,,,,"China P.R.","Jiangsu Rongsheng"
16138649,9532551,"Yuan Zhen Hai",566587000,"Ore Jiangsu","Singapore","China Ore Shipping","China Ore Shipping","China COSCO Shipping","01-Mar-2013","23-Dec-2011","31-Jul-2008",,,,399997,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (25.9 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
16138652,9532575,"Yuan Shi Hai",566863000,"Ore Caofeidian","Singapore","China Ore Shipping","China Ore Shipping","China COSCO Shipping","01-Jul-2013","03-May-2012","31-Jul-2008",,,,400000,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast Africa (22.2 %)",20,359.94,,,,"China P.R.","Jiangsu Rongsheng"
16138665,9532587,"Yuan Jian Hai",563254000,"Vale Lianyungang","Singapore",,"China Ore Shipping","China COSCO Shipping","01-Nov-2013","03-May-2012","31-Jul-2008",,,,399995,64.99,23,,140,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast Africa (23.7 %)",20,359.86,,,,"China P.R.","Jiangsu Rongsheng"
16170849,9565065,"Sohar Max",538004888,"Vale Sohar","Marshall Is.","Vale","Asyad Shipping","Asyad Shipping","01-Sep-2012","16-Jun-2011","26-Jun-2009",,,,400315,65,23,,120,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 31,640mkW total at 80rpm",43020,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast Africa (29.0 %)",20,360,,,,"Oman","Jiangsu Rongsheng"
16170852,9566514,"Liwa Max",538004889,"Vale Liwa","Marshall Is.","Vale","Asyad Shipping","Asyad Shipping","01-Aug-2012","16-Jun-2011","26-Jun-2009",,,,400314,65,23,,120,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 31,640mkW total at 80rpm",43020,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (30.8 %)",20,360,,,,"Oman","Jiangsu Rongsheng"
