"Listing"

"WFR Listing"
"Created 15 February 2022 02:21"


"CVN","IMO Number","Name","Built Date","Owner","Status","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","Beta Atlantic/Pacific Based (Last 12 Months)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Strengthened for Heavy Cargo","Strengthened for Ore","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Box Hold Ind","Group Owner Country/Region","Great Lakes Only","Call Sign"
16317688,9806952,"Yuan Qian Hai","01-Jan-2020","China Ore Shipping","In Service",203997,,,,"Atlantic/Pacific",,,"24-Oct-2019",12.19,,66606,"Y","Y","Capesize Bulker",,,,"Yuan Qian Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,"Y","H1451","Yuan Qian Hai Pte. Ltd.",,"China P.R.",,"9V5563"
16323184,9807724,"Pacific Express","01-Aug-2018","China Merchants Shpg","In Service",203483,,,,"Atlantic/Pacific",,,"31-Jan-2018",11.21,,66838,"Y","Y","Bulker","10-Jul-2019",,,"Pacific Express",269123,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,"Y",,,,"Y",,,"OC400K-1","Pacific Express Shpg Co Ltd",,"Hong Kong",,"VRRJ6"
16323197,9807736,"Pacific Flourish","01-Jul-2018","China Merchants Shpg","In Service",203408,,,,"Atlantic/Pacific",,,"05-Feb-2018",11.31,,66838,"Y","Y","Bulker","16-Jun-2019",,,"Pacific Flourish",269123,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,"Y",,,,"Y",,,"OC400K-2","Pacific Flourish Shpg Co Ltd",,"Hong Kong",,"VRRJ7"
16317604,9806873,"Yuan He Hai","01-Jan-2018","China Ore Shipping","In Service",203403,,,,"Atlantic/Pacific",,,"29-Sep-2017",11.98,,66606,"Y","Y","Capesize Bulker","05-Dec-2020",,,"Yuan He Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,"Y","H1438","Yuan He Hai Pte. Ltd.",,"China P.R.",,"9V5551"
16317617,9806885,"Yuan Gu Hai","01-May-2018","China Ore Shipping","In Service",203403,,,,"Atlantic/Pacific",,,"02-Feb-2018",11.56,,66606,"Y","Y","Capesize Bulker","25-Dec-2020",,,"Yuan Gu Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,"Y","H1439","Yuan Gu Hai Pte. Ltd.",,"China P.R.",,"9V5553"
16317620,9806897,"Yuan Yi Hai","01-Sep-2018","China Ore Shipping","In Service",203403,,,,"Atlantic/Pacific",,,"28-Jun-2018",12.17,,66606,"Y","Y","Capesize Bulker","29-Sep-2020",,,"Yuan Yi Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,"Y","H1440","YUAN SHUN HAI PTE. LTD.",,"China P.R.",,"9V5554"
16317633,9806902,"Yuan Bao Hai","01-Oct-2018","China Ore Shipping","In Service",203403,,,,"Atlantic/Pacific",,,"28-Jun-2018",12.15,,66606,"Y","Y","Capesize Bulker","04-Nov-2020",,,"Yuan Bao Hai",262559,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,,,,,"Y",,"Y","H1441","Yuan Bao Hai Pte Ltd",,"China P.R.",,"9V5555"
16317709,9806976,"Pacific Unity","01-May-2018","China Merchants Shpg","In Service",203396,,,,"Atlantic/Pacific",,,"02-Dec-2017",11.47,,66606,"Y","Y","Bulker","18-Jan-2020",,,"Pacific Unity",262560,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 72rpm, Ø11.20m",,"Y",,,,"Y",,,"H1445","Pacific Unity Shipping Co. Ltd.",,"Hong Kong",,"VRRJ4"
16317712,9806988,"Pacific Harvest","01-Jul-2018","China Merchants Shpg","In Service",203396,,,,"Atlantic/Pacific",,,"30-Apr-2018",11.2,,66606,"Y","Y","Bulker","16-Oct-2019",,,"Pacific Harvest",262645,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 58rpm, Ø11.20m",,"Y",,,,"Y",,,"H1446","Pacific Harvest Shipping Co Ltd",,"Hong Kong",,"VRRJ8"
16317725,9806990,"Pacific Vision","01-Nov-2018","China Merchants Shpg","In Service",203396,,,,"Atlantic/Pacific",,,"04-Sep-2018",11.59,,66606,"Y","Y","Bulker","02-Nov-2019",,,"Pacific Vision",262560,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, Ø11.20m",,"Y",,,,"Y",,,"H1447","Pacific Vision Shipping Co Ltd",,"Hong Kong",,"VRRJ5"
