"Listing"

"WFR Listing"
"Created 16 February 2022 05:32"


"CVN","Stock Exchange Ticker","Speed (knots)","Speed category","Great Lakes Fitted","Contract Date Ind","Self Unloader (Ind)","Builder Yard Location","Air Draft From Water Line (m)","Demo Location","Manager Group","Grabs Ind","Vessel Name Date","Ice Class (Ind)","Ice Notation","Self Unloader Type","Original Builder","Original Builder Group","FEU Max In Holds","FEU Max On Deck","Deck Strength (sq m t)","Deck Cargo (Ind)","SOx Scrubber Indicator","BWMS Status","Deck Timber Loading (Ind)","Pool Operator Country/Region","BWMS 1 Retrofit Date","BWMS Technology Type","Grabs No","Deck Cargo Height (m)","Auxiliary Engine Detail","BWMS 2 Retrofit Date","Propulsor Detail","Maximum Speed (knots)","Self Unloader Cap (t hr)","Total Cargo Decks No","Hatch Max Length (m)","Hatch Max Width (m)","Heavy Lift (Ind)","Hull Type"
16081149,,14.5,"Service","N",,,"Saikai",,,"Sumitomo Corp",,"01-Jun-2016","N",,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 95rpm",,,,,,,"D/Hull"
16081152,,14.5,"Service","N",,,"Saikai",,,"Fleet Management","N","01-Aug-2016","N",,,"Oshima Shipbuilding","Oshima Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 2,250ekW total, (2,812.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 95rpm",,,,,,,"D/Hull"
16326785,,,,,"M",,"Imabari",,,"Misuga Kaiun Co Ltd",,"01-Oct-2019",,,,"Shin Kurushima","Shin Kurushima Group",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,580mkW total at 900rpm driving 3 x ac generator(s) at 2,460ekW total, (3,075kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm",,,,,,,"D/Hull"
16326798,,14,"Laden",,"M",,"Imabari",,,"Cido Shipping",,"01-May-2020",,,,"Shin Kurushima","Shin Kurushima Group",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,580mkW total at 900rpm driving 3 x Taiyo FE 547A-8 - ac generator(s) at 1,500ekW total, (1,875kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm",,,,,,,"D/Hull"
16293807,,,,,"D",,"Hakodate",,,"Blumenthal, Johann",,"01-Jun-2018",,,,"Hakodate Dock","Namura Zosensho",,,,,,"Fitted",,,,,,,"2 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,600mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm",,,,,,,"D/Hull"
16293852,,14.1,"Service",,"D",,"Onomichi",,,"Evalend Shipping",,"01-Aug-2015",,,,"Naikai Innoshima","Naikai Zosen Corp",,,,,,"Fitted",,,,"FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), 113rpm",,,,,,,"D/Hull"
16412363,,12,"Service",,"Y",,"Yangzhou",,,"Dongguan Yinghao",,"01-Mar-2021",,,,"Yangzhou Ryuwa SB","Jiangsu Longchuan",,,,,,,,,,,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,050ekW total, (1,312.50kVA total) 400V at 50Hz",,"1 x Propeller (Aft Centre) (mechanical), 136rpm",,,,,,,"D/Hull"
16287822,,,,,"D",,"Hakodate",,,"Blumenthal, Johann",,"01-Sep-2017",,,,"Hakodate Dock","Namura Zosensho",,,,,,"Fitted",,,,,,,"2 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,600mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm",,,,,,,"D/Hull"
16287835,,,,,"D",,"Hakodate",,,"Blumenthal, Johann",,"01-Apr-2018",,,,"Hakodate Dock","Namura Zosensho",,,,,,"Fitted",,,,,,,"2 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,600mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm",,,,,,,"D/Hull"
16292684,,14,"Service",,"D",,"Nantong",,,"Navibulgar",,"01-Dec-2016","Y","1C",,"Jiangsu Hongqiang HI","Jiangsu Hongqiang HI",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - 4-stroke  at 900rpm driving 3 x Taiyo FE 547B-8 - AC generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 97rpm",,,,,,,"D/Hull"
16292697,,14,"Service",,"D",,"Nantong",,,"Navibulgar",,"01-Jul-2017","Y","1C",,"Jiangsu Hongqiang HI","Jiangsu Hongqiang HI",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - 4-stroke  at 900rpm driving 3 x Taiyo FE 547B-8 - AC generator(s) at 1,980ekW total, (2,475kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 97rpm",,,,,,,"D/Hull"
16292705,,14,"Service",,"D",,"Nantong",,,"Navibulgar",,"01-Jan-2019","Y","1C",,"Jiangsu Hongqiang HI","Jiangsu Hongqiang HI",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - 4-stroke  at 900rpm driving 3 x Taiyo FE 547B-8 - AC generator(s) at 1,980ekW total, (2,475kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 97rpm",,,,,,,"D/Hull"
16292842,,14,"Service",,"M",,"Zhoushan",,,"Schulte Group",,"01-May-2016","Y","IC",,"Zhejiang Zengzhou HI","Zhejiang Zengzhou HI",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Daihatsu 5DK-20e - 4-stroke 5-cyl. 200mm x 300mm bore/stroke 1,980mkW total at 900rpm driving 3 x ac generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), 99rpm"
16292855,,14,"Service",,"M",,"Zhoushan",,,"Schulte Group",,"01-Jul-2016","Y","IC",,"Zhejiang Zengzhou HI","Zhejiang Zengzhou HI",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Daihatsu 5DK-20e - 4-stroke 5-cyl. 200mm x 300mm bore/stroke 1,980mkW total at 900rpm driving 3 x Hyundai Electric HFC6 502-84K - ac generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), 117rpm"
16292871,,14,"Service",,"M",,"Zhoushan",,,"Schulte Group",,"01-Sep-2019","Y","1C",,"Zhejiang Zengzhou HI","Zhejiang Zengzhou HI",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Daihatsu 5DK-20e - 4-stroke 5-cyl. 200mm x 300mm bore/stroke 2,400mkW total at 900rpm driving 3 x Hyundai Electric HFC6 502-84K - ac generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), 99rpm"
16292918,,12,"Laden",,"D",,"Fukuyama",,,"Filharmony Ship",,"01-Aug-2015",,,,"Tsuneishi Zosen","Tsuneishi Holdings",,,,,"Y","Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,,17.67,14.8
16292921,,16.4,"Trial Speed",,"D",,"Fukuyama",,,,,"01-Sep-2015",,,,"Tsuneishi Zosen","Tsuneishi Holdings",,,,,"Y","Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 89rpm",,,,17.67,14.8
16293281,,14,"Service",,"M",,"Hakata",,,"Union Commercial",,"01-Jun-2016",,,,"Shimanami Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16293452,,15.7,"Trial Speed",,"D",,"Iwagi",,,"V. Group","Y","01-Jan-2017",,,,"Iwagi Zosen","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",4,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16293528,"SBLK",14.5,"Service",,"M",,"Shanghai",,,"Augustea Holding",,"01-Mar-2019",,,,"Shanghai Waigaoqiao","CSSC",,,,,"Y","Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY22ALW - 4-stroke 6-cyl. 220mm x 320mm bore/stroke 2,910mkW total at 900rpm driving 3 x Taiyo AC generator(s) at 2,700ekW total, (3,375kVA total) at 60Hz",,"1 x FP Propeller (Aft & Fwd) (mechanical) (Bronze), Dalian Marine, 78rpm"
16293531,"SBLK",14.5,"Service",,"M",,"Shanghai",,,"Augustea Holding",,"01-Oct-2019",,,,"Shanghai Waigaoqiao","CSSC",,,,,"Y","Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY22ALW - 4-stroke 6-cyl. 220mm x 320mm bore/stroke 2,910mkW total at 900rpm driving 3 x Taiyo AC generator(s) at 2,700ekW total, (3,375kVA total) at 60Hz",,"1 x FP Propeller (Aft & Fwd) (mechanical) (Bronze), Dalian Marine, 78rpm"
16293544,"SBLK",14.5,"Service",,"M",,"Shanghai",,,"Augustea Holding",,"01-Mar-2019",,,,"Shanghai Waigaoqiao","CSSC",,,,,"Y","Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY22ALW - 4-stroke 6-cyl. 220mm x 320mm bore/stroke 2,910mkW total at 900rpm driving 3 x Taiyo AC generator(s) at 2,700ekW total, (3,375kVA total) at 60Hz",,"1 x FP Propeller (Aft & Fwd) (mechanical) (Bronze), Dalian Marine, 78rpm"
16293599,,13.5,"Laden",,"D",,"Shanghai",,,"Guangdong Navi Group",,"01-Dec-2014",,,,"Shanghai Shipyard","CSSC",,,,,,"Fitted",,,"10-Dec-2019","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 2,040ekW total, (2,550kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 105rpm, Ø7.00m",,,,15.48,14.4
16293760,,16,"Trial Speed",,"D",,"Takamatsu",,,"Bright Star Shpgmngt",,"01-Apr-2017",,,,"Shikoku Dock.","Mitsui Eng & SB",,,,,"Y","Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm"
