"Listing"

"WFR Listing"
"Created 16 February 2022 06:06"


"CVN","Hatches Total No","SOx Scrubber Details","NOx Detail","Main Engine LNG Capable","Alternative Fuel Type Ready","Dwt per TEU","Beta Deployment (Last 12 Months)","Beta Port (Last 12 Months)","Beta Country (Last 12 Months)","Beta Region (Last 12 Months)","Beta Global Zone Group (Last 12 Months)","West Coast N America Deployment (Time in Last 12 Months, %)","West Coast S America Deployment (Time in Last 12 Months, %)","East Coast N America Deployment (Time in Last 12 Months, %)","East Coast S America Deployment (Time in Last 12 Months, %)","West Coast Africa Deployment (Time in Last 12 Months, %)","UK/Cont Deployment (Time in Last 12 Months, %)","East Coast Africa Deployment (Time in Last 12 Months, %)","Med/Black Sea Deployment (Time in Last 12 Months, %)","Australasia Deployment (Time in Last 12 Months, %)","Middle East Deployment (Time in Last 12 Months, %)","East Asia Deployment (Time in Last 12 Months, %)","Indian Subcont Deployment (Time in Last 12 Months, %)","SE Asia Deployment (Time in Last 12 Months, %)","North Asia Deployment (Time in Last 12 Months, %)","Southern Ocean Deployment (Time in Last 12 Months, %)","Arctic Deployment (Time in Last 12 Months, %)","Aux Consumption at Ballast Speed (tpd)","Aux Consumption at Laden Speed (tpd)","Aux Consumption In Port - Idle (tpd)","Aux Consumption In Port - Working (tpd)","Aux Consumption In Port (tpd)","Aux Consumption at Service Speed (tpd)","Boiler Detail","Hatch Description","Emergency Engine Detail","Depth Moulded (m)","Group","Beam Ext (m)"
16173495,7,"1 x Exhaust Scrubber - SOx - Wartsila Moss",,,,,"International",,,,,,,,20,11,,17,,7,,21,,24,,,,,,,,,,"1 x Boiler, Composite - Kangrim MC0601P33",,"1 x Emergency Diesel Gen. - Cummins Inc NT855-D(M) - 4-stroke 6-cyl. 140mm x 152mm bore/stroke 280mkW total at 1,800rpm driving 1 x AC generator(s) at 60Hz",30.5,"Bulk Ore Carrier",65.64
16149540,7,"1 x Exhaust Scrubber - SOx - Alfa Laval",,,,,"International",,,,,,,,22,13,,20,,4,,19,,22,,,,,,,,,,"1 x Boiler, Composite - Zhangjiagang Greens LYF3.5/3.3-0.7 at 9 bar",,"1 x Emergency Diesel Gen. - Scania DC12 - 4-stroke 6-cyl. 127mm x 154mm bore/stroke 445mkW total at 1,800rpm driving 1 x AC generator(s) at 50Hz",30.4,"Bulk Ore Carrier",65.06
16149537,7,"1 x Exhaust Scrubber - SOx - Alfa Laval",,,,,"International",,,,,,,,26,15,,24,,4,3,8,1,19,,,,,,,,,,"1 x Boiler, Composite - Zhangjiagang Greens LYF3.5/3.3-0.7 at 9 bar",,"1 x Emergency Diesel Gen. - Scania DC12 - 4-stroke 6-cyl. 127mm x 154mm bore/stroke 445mkW total at 1,800rpm driving 1 x AC generator(s) at 50Hz",30.40,"Bulk Ore Carrier",65.06
16149511,7,"1 x Exhaust Scrubber - SOx - Alfa Laval",,,,,"International",,,,,,,,25,19,,23,,4,,10,,19,,,,,,,,,,"1 x Boiler, Composite - Zhangjiagang Greens LYF3.5/3.3-0.7 at 9 bar",,"1 x Emergency Diesel Gen. - Scania DC12 - 4-stroke 6-cyl. 127mm x 154mm bore/stroke 445mkW total at 1,800rpm driving 1 x AC generator(s) at 50Hz",30.4,"Bulk Ore Carrier",65.05
16149524,7,"1 x Exhaust Scrubber - SOx - Alfa Laval",,,,,"International",,,,,,,,29,17,,22,,6,,6,,19,,,,,,,,,,"1 x Boiler, Composite - Zhangjiagang Greens LYF3.5/3.3-0.7 at 9 bar",,"1 x Emergency Diesel Gen. - Scania DC12 - 4-stroke 6-cyl. 127mm x 154mm bore/stroke 445mkW total at 1,800rpm driving 1 x AC generator(s) at 50Hz",30.4,"Bulk Ore Carrier",65.05
16295669,9,"1 x Exhaust Scrubber - SOx",,,,,"International",,,,,,,,,,,6,,20,,39,,34,,,,,,,,,,"1 x Boiler, Composite - Kangrim, 1 x Exhaust Gas Economiser - Kangrim",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x ac generator(s)",24.9,"Bulk Carrier",50.03
16295672,9,"1 x Exhaust Scrubber - SOx - PANASIA",,,,,"International",,,,,,,,20,15,,23,,1,3,23,2,13,,,,,,,,,,"1 x Boiler, Exhaust Heated - Kangrim, 1 x Boiler, Composite - Kangrim - 555m2 at 9 bar",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x AC generator(s) at 60Hz",24.9,"Bulk Carrier",50.03
16213834,9,"1 x Exhaust Scrubber - SOx - Yara Marine Tech",,,,,"International",,,,"Asia",,,,,,,,,26,,39,,35,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x AC generator(s)",24.90,"Bulk Carrier",50.01
16301258,9,,,,,,"International",,,,,30,25,,,,,0,,3,,31,,8,3,,,,,,,,,"1 x Exhaust Gas Economiser - Kangrim EB11016",,,25.3,"Bulk Carrier",49.05
16301261,9,,,,,,"International",,,,"Asia",,,,,,,,,33,,36,,31,,,,,,,,,,"1 x Boiler, Exhaust Heated - Kangrim, 1 x Boiler, Oil/Gas fired - Kangrim - ",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  driving 1 x AC generator(s) at 60Hz",25.3,"Bulk Carrier",49.05
16226234,9,,,,,,"International",,,,"Asia",,,,,,,1,,21,,47,,31,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  at 1,800rpm driving 1 x AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
16226247,9,,,,,,"International",,,,"Asia",,,,,,,,,20,,47,,34,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  at 1,800rpm driving 1 x AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
16226250,9,,,,,,"International",,,,"Asia",,,,,,,,,23,,42,,35,,,,,,,,,,"1 x Boiler, Composite - Osaka Boiler OVS2",,"1 x Emergency Diesel Gen. - Cummins Inc4-stroke  at 1,800rpm driving 1 x AC generator(s) at 200ekW total, (250kVA total) at 60Hz",24.7,"Bulk Carrier",47.56
