"Listing"

"WFR Listing"
"Created 09 March 2022 19:06"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months, %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Status"
12924493,9120841,"Sovereign Maersk",219476000,,"Danish Int'l","Maersk","Maersk","A.P. Moller","01-Sep-1997","13-Mar-1997","01-Feb-1995",,,,104696,42.8,14.52,,,,"VLS IFO",200,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,24.6,20,,"Fully Cellular Container","West Coast North America (33.6 %)",20,346.98,,,,"Denmark","In Service"
12924527,9120853,"MSC Fie",636021408,"Susan Maersk","Liberia","MSC","MSC","MSC","01-Dec-1997","24-Jun-1997","01-Feb-1995",,,,104696,42.8,14.52,,,,"VLS IFO",200,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,"1 x BWTS - Ballast Water Treatment System (Pending) - ERMA FIRST Erma First at 600cu.m/hr - 2022 installation year",24.6,20,,"Fully Cellular Container","East Asia (39.5 %)",20,346.98,,,,"Italy","In Service"
12924651,9120865,"Sally Maersk",219324000,,"Danish Int'l","Maersk","Maersk","A.P. Moller","01-Mar-1998","03-Oct-1997","01-Feb-1995",,,,104750,42.8,14.52,,,,"VLS IFO",200,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,24.6,20,,"Fully Cellular Container","West Coast North America (38.0 %)",20,346.98,,,,"Denmark","In Service"
12975361,9146455,"Sine Maersk",219537000,,"Danish Int'l","Maersk","Maersk","A.P. Moller","01-Jun-1998","06-Jan-1998","15-Dec-1995",31903,,"07-Jul-2020",104700,42.8,14.5,,,,"VLS IFO",200,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,25,20,,"Fully Cellular Container",,,346.98,,,,"Denmark","Dead/Demolished"
12975495,9146467,"Svendborg Maersk",219145000,,"Danish Int'l","Maersk","Maersk","A.P. Moller","01-Sep-1998","01-Apr-1998","15-Dec-1995",,,,104750,42,14.5,,,,"VLS IFO",200,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,"2 x BWTS - Ballast Water Treatment System (Pending) - DESMI CompactClean 500 at 500cu.m/hr - 2022 installation year",25,20,,"Fully Cellular Container","West Coast North America (36.7 %)",20,346.98,,,,"Denmark","In Service"
12975529,9146479,"MSC Vilda",636020728,"Sofie Maersk","Liberia","MSC","MSC","MSC","01-Dec-1998","05-Jul-1998","15-Dec-1995",,,,104696,42,14.5,,,,"VLS IFO",200,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,"1 x Selective Catalytic Reduction - NOx - Unknown - 2005 installation year, 1 x BWTS - Ballast Water Treatment System (Pending) - ERMA FIRST Erma First at 600cu.m/hr - 2022 installation year",25,20,,"Fully Cellular Container","East Asia (27.1 %)",20,346.72,,,,"Italy","In Service"
12898493,9107887,"Kawasaki",636017642,"Maersk Kawasaki","Liberia",,"Costamare Shipping","Costamare Shipping","01-May-1997","28-Nov-1996","26-Aug-1994",34318,,"20-Jun-2020",90456,42.8,14,,,,"VLS IFO",200,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,25,18,,"Fully Cellular Container",,,318.24,,,,"Greece","Dead/Demolished"
12846315,9085522,"Kure",636017643,"Maersk Kure","Liberia","COSCO Shipping Lines","Costamare Shipping","Costamare Shipping","01-Jan-1996","30-Jun-1995","01-Sep-1993",,,,90456,42.8,14.52,,87.5,"$m","VLS IFO",240,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,25,18,,"Fully Cellular Container","East Asia (25.1 %)",21,318.24,,,,"Greece","In Service"
12846449,9085534,"Maersk Kotka",636018933,"Knud Maersk","Liberia","Maersk","Costamare Shipping","Costamare Shipping","01-Apr-1996","20-Nov-1995","01-Sep-1993",34173,,,90456,42.8,14.52,,87.5,"$m","VLS IFO",240,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,25,18,,"Fully Cellular Container","Mediterranean / Black Sea (54.0 %)",21,318.24,,,,"Greece","In Service"
12846573,9085546,"Maersk Kleven",636018912,"Even","Liberia","Maersk","Costamare Shipping","Costamare Shipping","01-Aug-1996","11-Mar-1996","01-Sep-1993",34173,,,90456,42.8,14.52,,87.5,"$m","VLS IFO",240,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,25,18,,"Fully Cellular Container","Mediterranean / Black Sea (51.8 %)",21,318.24,,,,"Greece","In Service"
