"Listing"

"WFR Listing"
"Created 09 March 2022 19:30"


"CVN","Builder","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Group Owner Country/Region","Great Lakes Only","Call Sign","Age Scrapped","Fleet Type","Sister Vessel Code","Owner Size","Group Owner Nationality/Region"
11601843,"Aukra Indust.",3333,2014,"Tanker",,450,,"01-Oct-1979",9.93,,2159,"Sub-Panamax Container",,,,"Asuncion B",2941,"1 x FP Propeller (Aft Centre) (mechanical)",,,,,,,,,"0071","Naviera Del Mercosur S.A.","Paraguay",,"ZPSS",,"Containerships",,"Very Small (1-5) ","Paraguay"
12397075,"Ch. Nord et Med",31430,,"Open Hatch",3950,2073,,"12-Apr-1986",13.24,,13075,"Container",,996,1077,"MSC Chiara",24481,"1 x FP Propeller (Aft Centre) (mechanical), 97rpm",21,,,,,,,,"335","Chiara Oceanway Ltd.","Switzerland","N","H3RT",,"Containerships",,"Extra Large (100+)","Italy"
12397109,"Ch. Nord et Med",31430,,"Open Hatch",4000,2073,,"04-Mar-1987",13.96,,13099,"Container",,996,1077,"MSC Jasmine",24406,"1 x FP Propeller (Aft Centre) (mechanical), 98rpm",21,,,,,,,,"336","Jasmine Oceanway Ltd.","Switzerland","N","H3OB",,"Containerships",,"Extra Large (100+)","Italy"
12406249,"Ch. Nord et Med",31430,,"Open Hatch",4050,2073,,"28-Nov-1987",12.83,53.2,13090,"Container",,996,1077,"MSC Nicole",23512,"1 x FP Propeller (Aft Centre) (mechanical), 98rpm",25,,,,,,,,"337","NSM Nicole Shipping Co. Ltd.","Switzerland",,"H3QJ",,"Containerships",,"Extra Large (100+)","Italy"
12406373,"Ch. de l'Atlantique",31430,,"Open Hatch",4050,2073,,"14-Jan-1986",13.95,53.2,13090,"Container",,996,1077,"MSC Denisse",23512,"1 x FP Propeller (Aft Centre) (mechanical), 98rpm",21,,,,,,,,"T28","NSM Denisse Shipping Co. Ltd.","Switzerland","N","3FUI9",,"Containerships",,"Extra Large (100+)","Italy"
12784011,"Samsung HI",53409,,,6892,4960,,,,,21088,"Diverse",,,,"MSC Napoli",,"1 x CP Propeller (Aft Centre) (mechanical), 102rpm",,,,,,,,,"1082",,"United Kingdom",,"VQBX7",16.08,"Containerships",,"Extra Large (100+)","United Kingdom"
12785771,"CCN Maua",28397,,,3320,2303,,"11-Mar-1994",12.96,,10894,"Diverse",,1145,1158,"MSC Jenny",8477,"1 x CP Propeller (Aft Centre) (mechanical), KaMeWa, 98rpm",22,,,,,,,,"196","Jenny Maritime Inc.","Greece",,"CQDA",,"Containerships",70514,"Very Large (51-100)","Greece"
12789061,"Hyundai HI (Ulsan)",23953,,,2352,2023,,,,48.7,10384,,,,,"Sierra II",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,"Y",,,,,,"747","MANSEL SHIPPING CO","Unknown",,"A8YT3",27.92,"Containerships",77269,,"Unknown"
12789195,"Hyundai HI (Ulsan)",23953,,,2352,2024,,,,48.7,10384,,,,,"Reunion",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,"Y",,,,,,"748","Nicky Shipping Co.","Unknown",,"A8YT4",27.33,"Containerships",77269,,"Unknown"
12789937,"NASSCO",31573,,,2460,2019,,,21,,15054,"Container","19-Jun-2020",1069,950,"R.J. Pfeiffer",,"1 x FP Propeller (Aft Centre) (mechanical), 93rpm",,"Y",,,,,,,"445","MATSON NAVIGATION CO., INC.","United States",,"WRJP",,"Containerships",,"Medium (11-20)","United States"
